Thu Jan  1 00:02:18 2015	29	Slow Club	Christmas TV	Christmas Thanks For Nothing
Thu Jan  1 03:01:21 2015	29	I Am The World Trade Center	Rockefeller Tree	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 03:04:17 2015	29	Prayer For Animals	Riptide Yuletide	n/a
Thu Jan  1 03:08:19 2015	28	Billy Idol	Jingle Bell Rock	Happy Holidays: A Very Special Christmas Album
Thu Jan  1 03:10:16 2015	29	New Mendicants	A Very Sorry Christmas	Into the Lime
Thu Jan  1 03:12:46 2015	29	Hey Rosetta!	Carry Me Home	A Cup Of Kindness Yet EP
Thu Jan  1 03:16:32 2015	27	Terry Downs	Winter Wonderland	n/a
Thu Jan  1 03:18:08 2015	28	Gruff Rhys	Post Apocalypse Christmas	Atheist Xmas EP
Thu Jan  1 03:20:32 2015	28	Gordon Voidwell	Christmas Morn	Christmas Jollies
Thu Jan  1 03:22:18 2015	28	Silver Swans	Cm2	n/a
Thu Jan  1 03:25:20 2015	28	My Morning Jacket	When The Bells Start Ringing (feat. The Head & The Heart)	n/a
Thu Jan  1 03:28:49 2015	30	Beach Boys	Melekalikimaka	Christmas With the Beach Boys
Thu Jan  1 03:31:27 2015	33	New Pornographers	Joseph, Who Understood	The Spirit of Giving EP
Thu Jan  1 03:34:04 2015	32	Ventures, The	Sleigh Ride	Christmas Joy
Thu Jan  1 03:36:20 2015	31	Adam Franklin	Winter Girls	Spent Bullets
Thu Jan  1 03:40:18 2015	31	Maps Feat. Polly Scattergood	In The Bleak Midwinter	n/a
Thu Jan  1 03:44:02 2015	33	Ben Rector	White Christmas	Jingles and Bells
Thu Jan  1 03:46:50 2015	30	Lost in the Trees	A Nuclear Winter Wonderland	n/a
Thu Jan  1 03:50:51 2015	31	Santa Claus	Ho Ho Ho	n/a
Thu Jan  1 03:50:58 2015	31	Built For The Sea	Baby, Itys Cold Outside	n/a
Thu Jan  1 03:54:19 2015	29	Ween	Silent Night	n/a
Thu Jan  1 03:55:48 2015	30	She & Him	Little Saint Nick	A Very She & Him Christmas
Thu Jan  1 03:57:59 2015	30	Perishers, The	Blue Christmas	n/a
Thu Jan  1 04:00:41 2015	32	Christmas Karaoke	Deck The Halls (Instrumental)	Karaoke: Christmas Songs
Thu Jan  1 04:01:38 2015	32	Sufjan Stevens	O Come O Come Emmanuel	Hark! Songs For Christmas Volume 1
Thu Jan  1 04:05:28 2015	32	Rogue Wave	Jingle Bell Rock	This Warm December: A Brushfire Holiday, Volume 2 (Compilation)
Thu Jan  1 04:08:23 2015	34	Captain Automatic	(We used to have a) Xmas Party	n/a
Thu Jan  1 04:12:43 2015	33	She & Him	Rockin' Around The Christmas Tree	A Very She & Him Christmas
Thu Jan  1 04:14:25 2015	33	Camera Obscura	The Blizzard	Xmas single
Thu Jan  1 04:18:08 2015	33	Tracey Thorn	Snow in Sun	Tinsel and Lights
Thu Jan  1 04:20:23 2015	35	Beta Radio	Carol Of The Banjos	The Songs the Season Brings: Vol. 3
Thu Jan  1 04:21:27 2015	35	Lonnie Walker	Christmas Time In Hell	Do you EAR what I EAR?
Thu Jan  1 04:24:09 2015	34	Gringo Star	I Saw Mommy Kissing Santa Claus	n/a
Thu Jan  1 04:26:02 2015	36	Dressy Bessy	All The Right Reasons	Little Music
Thu Jan  1 04:28:37 2015	35	Pearl Jam	Someday at Christmas	2004 Fanclub Single (Single)
Thu Jan  1 04:31:22 2015	33	Au Revoir Simone	Fallen Snow	The Bird of Music
Thu Jan  1 04:34:44 2015	33	Magnetic Fields	Everything Is One Big Christmas Tree	Realism
Thu Jan  1 04:36:55 2015	34	Triangle Park	Christmas Lights	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 04:39:53 2015	36	Johnny Payne	Green & Gold	Light Organ Records presents Sleighed
Thu Jan  1 04:44:14 2015	34	John Lennon	Happy Xmas (War Is Over)	The John Lennon Collection
Thu Jan  1 04:47:16 2015	39	Kingsfoil	The Valley (A Christmas Song) V2	n/a
Thu Jan  1 04:50:59 2015	35	Julian Koster	White Christmas	The Singing Saw at Christmas09
Thu Jan  1 04:53:22 2015	35	Bowling For Soup	All I want for Christmas is you	Vol. 1/2-Merry Flippin' Christmas
Thu Jan  1 04:57:04 2015	31	Guided By Voices	Kicker Of Elves	Bee Thousand
Thu Jan  1 04:58:07 2015	32	Teenage Fanclub	Winter	XFM: It's a Cool Cool Christmas
Thu Jan  1 05:01:55 2015	31	Olms	Christmas Thyme	Paste Holiday Sampler 2013 (Compilation)
Thu Jan  1 05:04:27 2015	31	Le Verita	Winter's View	n/a
Thu Jan  1 05:08:40 2015	32	Norah Jones	Peace	Now That's What I Call Christmas 4
Thu Jan  1 05:12:21 2015	32	Jingle Punx	Santa Claus Is Coming To Town	n/a
Thu Jan  1 05:14:09 2015	31	Oranger	Winter Gardener	From the Ashes of Electric Elves
Thu Jan  1 05:18:00 2015	30	Deerhoof	Little Drummer Boy	The Perfect Me (Single)
Thu Jan  1 05:19:09 2015	29	Kelley Stoltz	Winter Girl	Below The Branches
Thu Jan  1 05:22:31 2015	28	Morning Parade	Blue Winter	The Hated And The Loved EP
Thu Jan  1 05:26:55 2015	29	Gentleman Auction House	On The Rooftop	Christmas in Love
Thu Jan  1 05:29:55 2015	31	Dawn Landes	Little Miss Holiday	Sweet Heart Rodeo
Thu Jan  1 05:32:58 2015	32	Ad Frank & The Fast Easy Women	Winterthru	Your Secrets Are Mine Now
Thu Jan  1 05:36:41 2015	31	White Stripes, The	Candy Cane Children	Life on the Flipsides
Thu Jan  1 05:39:09 2015	31	Shins, The	Wonderful Christmastime	Holidays Rule
Thu Jan  1 05:41:35 2015	31	Polyphonic Spree	Do You Hear What I Hear	Holidaydream: Sounds of the Holidays Vol. One
Thu Jan  1 05:45:09 2015	33	Vampire Weekend	Holiday	Contra
Thu Jan  1 05:47:16 2015	33	Brian Setzer Orchestra	Sleigh Ride	Boogie Woogie Christmas
Thu Jan  1 05:49:44 2015	33	Orange Juice	Holiday Hymn	The Glasgow School
Thu Jan  1 05:52:44 2015	31	Goldenboy	O'Holy Night	n/a
Thu Jan  1 05:57:09 2015	30	New Pornographers	Arms Of Mary, Looking At A Baby	n/a
Thu Jan  1 06:00:54 2015	31	Real Tuesday Weld	Song Of December	Festivus!
Thu Jan  1 06:04:38 2015	31	Slow Club	It's Christmas And You're Boring Me	Christmas, Thanks For Nothing EP
Thu Jan  1 06:07:49 2015	31	Low	Just Like Christmas	Christmas
Thu Jan  1 06:10:40 2015	49	Scissors For Lefty	Holly Jolly Christmas	A Foggy Holiday - Carols From The SF Scene
Thu Jan  1 06:12:40 2015	32	Elvis Presley	Blue Christmas	n/a
Thu Jan  1 06:14:46 2015	34	Raveonettes, The	Come On Santa	Wishing You A Rave Christmas
Thu Jan  1 06:18:10 2015	30	Romeo Spike	Christmas Diablo	odds & ends, bits & pieces
Thu Jan  1 06:22:09 2015	30	Girl in a Coma	I'll Be Home For Christmas	A Blackheart Christmas (Compilation)
Thu Jan  1 06:25:14 2015	28	JBM	Winter Ghosts	Stray Ashes
Thu Jan  1 06:29:10 2015	28	Essex Green	Deck The Halls	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 06:30:48 2015	28	Higher Elevations	All These Winter Nights	Music to Listen to When You Drive Home for Christmas (Compilation)
Thu Jan  1 06:33:55 2015	28	St. Cloud	Bombay Beach Christmas	XO For The Holidays
Thu Jan  1 06:37:30 2015	27	They Might Be Giants	Feast Of Lights	They Might Be Giants ina| Holidayland EP
Thu Jan  1 06:40:10 2015	28	Pretenders, The	Have Yourself A Merry Little Christmas	Absolute Christmas Classics
Thu Jan  1 06:44:28 2015	25	Yo La Tengo	Winter A Go-Go	Summer Sun
Thu Jan  1 06:47:49 2015	26	Cocktails	Tis The Season	n/a
Thu Jan  1 06:50:55 2015	26	Jigsaw Seen	God Rest Ye Merry Gentlemen (Remixed)	n/a
Thu Jan  1 06:54:04 2015	26	Rufus Wainwright	Spotlight On Christmas	Elton John's Christmas Party
Thu Jan  1 06:57:16 2015	28	El Vez	Feliz Navi-Nada	Xfm: It's A Cool, Cool Christmas
Thu Jan  1 06:59:41 2015	29	Bandrew	Christmas Time Pleasantries With Road Kill	n/a
Thu Jan  1 07:00:57 2015	28	maus haus	winter	Winter 7"
Thu Jan  1 07:05:19 2015	31	Colleen And Paul	A Home In The Top Boughs	Colleen & Paul
Thu Jan  1 07:08:30 2015	34	Dave Matthews Band	Christmas Song	Kevin And Bean's Last Christmas
Thu Jan  1 07:13:55 2015	32	Bad Religion	God Rest Ye Merry Gentlemen	Christmas Songs
Thu Jan  1 07:15:34 2015	32	Bright Eyes	Oh Little Town Of Bethlehem	[A Christmas Album]
Thu Jan  1 07:18:41 2015	34	Calexico	Gift X-change	Xfm: It's A Cool, Cool Christmas
Thu Jan  1 07:21:39 2015	33	Puppini Sisters	Last Christmas	Christmas With The Puppini Sisters
Thu Jan  1 07:26:26 2015	34	Beach Boys	Dennis WIlson Christmas Message	Ultimate Christmas (Compilation)
Thu Jan  1 07:26:46 2015	34	Apside	Do They Know It's Christmas	A Foggy Holiday: Carols From the SF Scene, Volume 2
Thu Jan  1 07:31:48 2015	33	Sufjan Stevens	Come On! Let's Boogey to the Elf Dance!	Ding! Dong!: Songs for Christmas, Vol. III
Thu Jan  1 07:35:25 2015	34	Matt Costa	All I Want For Christmas	This Warm December: A Brushfire Holiday Vol. 1
Thu Jan  1 07:37:23 2015	34	Tom Waits	Christmas Card From a Hooker In Minneapolis	Blue Valentine
Thu Jan  1 07:41:46 2015	38	Moor, The	Warm Winter	n/a
Thu Jan  1 07:45:34 2015	34	Smithereens, The	Rudolph, The Red Nosed Reindeer	Sleighed: The Other Side Of Christmas
Thu Jan  1 07:48:35 2015	34	Emperor Norton	Feliz Navidad	A Foggy Holiday - Carols From The SF Scene
Thu Jan  1 07:51:26 2015	31	Walkmen, The	While I Shovel the Snow	Lisbon
Thu Jan  1 07:55:10 2015	30	Adam And Darcie	Warm And Bright	December 24th
Thu Jan  1 07:58:19 2015	32	Federalists, The	Christmas (Baby, Please Come Home)	n/a
Thu Jan  1 08:01:07 2015	32	Kate Nash	Faith	Have Faith With Kate Nash This Christmas EP
Thu Jan  1 08:04:33 2015	36	Palace Songs (Bonnie Prince Billy)	Christmastime in the Mountains	n/a
Thu Jan  1 08:06:02 2015	35	Ryan Adams	Hey Parker It's Christmas	Jacksonville City Nights
Thu Jan  1 08:09:57 2015	35	Damien Jurado	The Falling Snow	Saint Bartlett
Thu Jan  1 08:13:34 2015	36	Musye Mycanique	White Christmas	n/a
Thu Jan  1 08:17:11 2015	35	Push To Talk	Happy Xmas (War Is Over)	n/a
Thu Jan  1 08:21:57 2015	35	Grandaddy	Alan Parsons In A Winter Wonderland	B-Side
Thu Jan  1 08:24:47 2015	36	Skiffle And The Piffles	Just Because It's Christmas	Festivus!
Thu Jan  1 08:28:12 2015	36	Mynabirds, The	This Will Be Our Year	All I Want Is Truth (for Christmas)
Thu Jan  1 08:30:37 2015	35	Morphine	Sexy Christmas Baby Mine	At Your Service
Thu Jan  1 08:32:26 2015	38	Maggie Chapman	Make It Rain, Dear	n/a
Thu Jan  1 08:35:19 2015	41	Silver Griffin	What Child Is This	A Foggy Holiday: Carols From the SF Scene, Volume 2
Thu Jan  1 08:39:25 2015	38	Young Moon	Cold Day Solstice	Navigated Like the Swans
Thu Jan  1 08:43:10 2015	42	Bruce Cockburn	Joy to the World	Christmas
Thu Jan  1 08:43:44 2015	42	Monnone Alone	Everywhere At Once	Festivus!
Thu Jan  1 08:47:12 2015	42	Rosie Thomas	Why Can't It Be Christmastime All Year	A Very Rosie Christmas
Thu Jan  1 08:51:18 2015	41	Throw Me The Statue	Snowshoes	Creaturesque
Thu Jan  1 08:53:59 2015	42	Busytoby	Hyun's Snowy Night	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 08:55:52 2015	41	Joey Ramone	What A Wonderful World	Joey Ramone: Don't Worry About Me
Thu Jan  1 08:58:12 2015	41	Debbie Friedman	The Latke Song (Live)	Twas The Night Before Hanukkah (Disc One)
Thu Jan  1 09:01:16 2015	41	Teenage Fanclub	Alchoholiday	n/a
Thu Jan  1 09:06:29 2015	41	There Will Be Fireworks	In Excelsis Deo	because, because EP
Thu Jan  1 09:11:16 2015	39	Layaways, The	Silent Night	Maybe Next Year
Thu Jan  1 09:15:12 2015	41	Weezer	Christmas Celebration	Photograph (Single)
Thu Jan  1 09:17:20 2015	39	Tracey Thorn	Tinsel and Lights	Tinsel & Lights
Thu Jan  1 09:20:43 2015	42	El Perro Del Mar	Oh! What A Christmas	It's Not Like Christmas
Thu Jan  1 09:23:44 2015	40	Hush Now	Happy New Year, Dear	n/a
Thu Jan  1 09:27:45 2015	41	Ashes, The	Am I Too Old For Christmas	Mint 400 Records: A Very Merry Christmas Compilation
Thu Jan  1 09:30:12 2015	43	Eric Matthews	Christmas Time is Here	n/a
Thu Jan  1 09:33:00 2015	43	Crookes, The	You're Just Like Christmas	n/a
Thu Jan  1 09:36:48 2015	45	Savanteous Q Malmsteen	What Do You Get A Wookie For Christmas	n/a
Thu Jan  1 09:38:53 2015	45	Real Estate	Snow Days	Real Estate
Thu Jan  1 09:43:09 2015	44	Dave Barnes	Mary And Joseph	Very Merry Christmas
Thu Jan  1 09:47:26 2015	45	Ciao Bella	Christmas Time	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 09:50:54 2015	47	Still Corners	The White Season	Creatures Of An Hour
Thu Jan  1 09:53:31 2015	45	Bob Dylan	Silver Bells	Christmas in the Heart
Thu Jan  1 09:56:12 2015	45	Amor De Dias	Wild Winter Trees	Street of the Love of Days
Thu Jan  1 09:57:33 2015	42	Wild Season	Christmas Every Day	n/a
Thu Jan  1 10:00:34 2015	42	Lovers, The	Christmas Tree	odds & ends, bits & pieces
Thu Jan  1 10:02:48 2015	41	Cast Of Thousands	Blue Christmas	A Foggy Holiday: Carols From the SF Scene, Volume 2
Thu Jan  1 10:04:30 2015	41	Gorky's Zygotic Mynci	Hwiangerdd Mair	Xfm: It's A Cool, Cool Christmas
Thu Jan  1 10:07:37 2015	42	Fruit Bats	It's Beginning To Look Like Christmas	Christmas Rules (Compilation)
Thu Jan  1 10:10:30 2015	42	Vacancies, The	The Elf Song	A Blackheart Christmas
Thu Jan  1 10:13:15 2015	44	Films, The	Holiday	Oh, Scorpio
Thu Jan  1 10:16:48 2015	42	Frederick	All I Want For Christmas	Light Organ Records presents Sleighed
Thu Jan  1 10:20:12 2015	40	Black Prairie Featuring Sallie Ford	(Everybody's Waitin' For) The Man With The Bag	Holidays Rule
Thu Jan  1 10:23:39 2015	40	Lovemakers, The	Melekalikimaka	n/a
Thu Jan  1 10:26:11 2015	41	Basement Apartment	Merry X-Mas	n/a
Thu Jan  1 10:28:48 2015	41	Flaming Lips	Christmas At The Zoo	Clouds Taste Metallic
Thu Jan  1 10:31:56 2015	42	Wes Cunningham	Merry Christmas Baby	n/a
Thu Jan  1 10:35:18 2015	40	Over The Rhine	All I Ever Get For Christmas Is Blue	Snow Angels
Thu Jan  1 10:39:32 2015	43	Ben Kweller	Here Comes Santa Claus	n/a
Thu Jan  1 10:40:54 2015	43	Gypsy Hombres, The	Rudolph, The Red-Nosed Reindeer	Django Bells
Thu Jan  1 10:45:48 2015	42	Casiotone For The Painfully Alone	Traveling Salesman's Young Wife Home Alone On Christmas In Mont	Vs. Children
Thu Jan  1 10:48:22 2015	42	jens lekman	run away with me	US Tour EP
Thu Jan  1 10:51:00 2015	42	Julie Doiron	Christmas Eve Blues	Do you EAR what I EAR?
Thu Jan  1 10:53:27 2015	44	Carny, The	This Christmas (If You Come Back)	n/a
Thu Jan  1 10:58:22 2015	45	Feist	Lo, How A Rose E're Blooming	Sweet Tracks
Thu Jan  1 11:01:58 2015	45	Matthew Mayfield	It's Christmastime Again	A Rock By The Sea Christmas :: Volume Three
Thu Jan  1 11:04:35 2015	44	Beach Boys	Little Saint Nick (Alternate Version)	Ultimate Christmas (Compilation)
Thu Jan  1 11:06:34 2015	45	Sufjan Stevens	Holly Jolly Christmas	Silver & Gold
Thu Jan  1 11:08:54 2015	46	Garlands, The	Christmas Song	n/a
Thu Jan  1 11:11:02 2015	43	My Morning Jacket	Welcome Home (iTunes Session)	n/a
Thu Jan  1 11:14:40 2015	42	Sara Jackson Holman	Carol of the Bells	A Very Merry EP
Thu Jan  1 11:16:50 2015	42	Head And The Heart, The	What Are You Doing New Year's Eve	Holidays Rule
Thu Jan  1 11:21:09 2015	46	She & Him	Sleigh Ride	A Very She & Him Christmas
Thu Jan  1 11:23:45 2015	45	Elliott Smith	Angel in the Snow	New Moon
Thu Jan  1 11:26:10 2015	44	Rilo Kiley	Xmas Cake	Maybe This Christmas Too?
Thu Jan  1 11:31:31 2015	43	Michael Lyons	Last Christmas	A Rock By The Sea Christmas :: Volume Three
Thu Jan  1 11:35:43 2015	42	Big Bad Voodoo Daddy	Rockabilly Christmas	Everything You Want For Christmas
Thu Jan  1 11:39:13 2015	40	Current Swell	Christmas Alone	Paste Holiday Sampler 2012 (Compilation)
Thu Jan  1 11:42:46 2015	37	Gwens	Christmas Love	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 11:45:47 2015	38	Gruff Rhys	At The End Of The Line	Atheist Xmas EP
Thu Jan  1 11:49:10 2015	39	Asobi Seksu	Merry Christmas (I Donyt Want To Fight Tonight)	n/a
Thu Jan  1 11:52:11 2015	38	Old 97's	Here It Is Christmas Time	n/a
Thu Jan  1 11:55:44 2015	39	Jessie Torrisi	Christmas Don't Be Late	n/a
Thu Jan  1 11:58:00 2015	38	Rhett Miller (With Sydney Wayser)	Christmas Is Coming	n/a
Thu Jan  1 12:00:56 2015	39	Finish Ticket	All I Want For Christmas Is You	n/a
Thu Jan  1 12:04:47 2015	39	Bright Eyes	God Rest Ye Merry Gentlemen	[A Christmas Album]
Thu Jan  1 12:06:36 2015	40	Masked Intruder	Under The Mistletoe	Under the Mistletoe (Single)
Thu Jan  1 12:09:28 2015	39	Nikki Lane	Fa La La La Love Ya	n/a
Thu Jan  1 12:12:49 2015	40	Sea Wolf	Winter's Heir	White Water, White Bloom
Thu Jan  1 12:17:08 2015	40	Dinosaur Feathers	A Day in the Life of a Christmas Tree	Do you EAR what I EAR?
Thu Jan  1 12:20:23 2015	38	Eastern Sea	Little Drummer Boy	First Christmas
Thu Jan  1 12:23:32 2015	37	Failure To Excel	This Is Christmas Day	n/a
Thu Jan  1 12:27:20 2015	36	Mascott & Gramercy Arms	This Christmastime	n/a
Thu Jan  1 12:30:23 2015	37	Poor Bailey	The Chipmunks Song (Christmas Don't Be Late)	A Foggy Holiday - Carols From The SF Scene
Thu Jan  1 12:33:00 2015	37	Fairmont	This Song Is Your Christmas Gift	n/a
Thu Jan  1 12:35:41 2015	36	Band, The	Christmas Must Be Tonight	To Kingdom Come (The Definitive Collection)
Thu Jan  1 12:39:10 2015	36	Slow Club	All Alone At Christmas	Christmas Thanks for Nothing EP
Thu Jan  1 12:43:16 2015	36	Mud	Father Christmas	A Foggy Holiday - Carols From The SF Scene
Thu Jan  1 12:46:24 2015	37	Eux Autres	Merry Xmas Everybody	Another Christmas At Home
Thu Jan  1 12:49:33 2015	35	Bad Religion	Angels We Have Heard On High	Christmas Songs
Thu Jan  1 12:51:32 2015	35	Andrea Perry	Fat Aunt Bette (A Christmas Song)	n/a
Thu Jan  1 12:53:40 2015	36	Sharon Van Etten	Blue Christmas	Do you EAR what I EAR?
Thu Jan  1 12:56:21 2015	38	Six Cents And Natalie	Secret Santa (You Could Be The One)	Kindercore Records Christmas, Volume 2 (Compilation)
Thu Jan  1 12:59:39 2015	37	Jingle Punx	Silver Bells	What Noise Is This?
Thu Jan  1 13:01:36 2015	36	Felice Brothers, The	Murder By Mistletoe	The Felice Brothers
Thu Jan  1 13:06:13 2015	35	Slaraffenland	Give Me No Splendour, Gold, Or Pomp	A Ride to Anywhere
Thu Jan  1 13:09:32 2015	37	Mama Gypsy	What Child Is This	A Rock By The Sea Christmas :: Volume Three
Thu Jan  1 13:12:41 2015	37	Andrea Nardello	Bella (Christmas Morning)	n/a
Thu Jan  1 13:15:39 2015	34	Eels	Christmas is Going to the Dogs	The OC: Chrismukkah album
Thu Jan  1 13:18:35 2015	35	December People	Carol of the Bells	Sounds Like Christmas
Thu Jan  1 13:24:48 2015	33	River Whyless	Jingle Bells	n/a
Thu Jan  1 13:28:11 2015	33	Polyphonic Spree	The Christmas Song (Chestnuts Roasting On An Open Fire)	Holidaydream: Sounds of the Holidays Vol. One
Thu Jan  1 13:30:30 2015	33	Matt Pond	Give Me Love Give Me Peace On Earth	n/a
Thu Jan  1 13:34:19 2015	32	Great Lake Swimmers	Hang A String Of Lights	Paste Holiday Sampler 2012 (Compilation)
Thu Jan  1 13:37:00 2015	32	Sufjan Stevens	Up On The Housetop	Silver & Gold
Thu Jan  1 13:41:14 2015	32	Papercuts, The	Go Tell It On The Mountain	n/a
Thu Jan  1 13:43:41 2015	32	XTC	Countdown To Christmas Party Time	Rag & Bone Buffet (Rare Cuts & Leftovers)
Thu Jan  1 13:47:43 2015	30	Wooden Wand & The Briarwood Virgins	Winter In Kentucky	Briarwood
Thu Jan  1 13:51:11 2015	29	I The Mighty	The Christmas Song	A Foggy Holiday: Carols From the SF Scene, Volume 2
Thu Jan  1 13:53:58 2015	29	Snow In Mexico	You And My Winter	Snow in Mexico EP
Thu Jan  1 13:57:55 2015	32	Spongetones, The	Christmas Boy	n/a
Thu Jan  1 14:00:13 2015	29	Andrew Dost (Anathallo)	Yeah, I Know, It's Christmastime	n/a
Thu Jan  1 14:02:11 2015	30	Teenage Fanclub	Christmas Eve	Xfm: It's A Cool, Cool Christmas
Thu Jan  1 14:03:58 2015	29	Acklen	Holiday Away	n/a
Thu Jan  1 14:08:10 2015	28	fun.	Sleigh Ride	Holidays Rule
Thu Jan  1 14:11:43 2015	27	explosions in the sky	christmas dance	n/a
Thu Jan  1 14:13:40 2015	27	They Might Be Giants	Santa's Beard	Lincoln
Thu Jan  1 14:15:34 2015	26	Foxtails Brigade	Saturday's Gone	Time Is Passed
Thu Jan  1 14:19:02 2015	26	Handsome Poets	Merry Xmas Everybody	So This Is Christmas (Compilation)
Thu Jan  1 14:22:09 2015	26	Weezer	O Come All Ye Faithful	Christmas With Weezer EP
