Mon Dec  1 00:01:48 2014	99	Ghostland Observatory	Midnight Voyage	Ghostland
Mon Dec  1 03:17:14 2014	147	Home Video	The Smoke	The Automatic Process
Mon Dec  1 03:22:15 2014	154	Telepathe	Can't Stand It	Dance Mother
Mon Dec  1 03:27:13 2014	155	Letting Up Despite Great Faults	Photograph Shakes	Letting Up Despite Great Faults
Mon Dec  1 03:30:23 2014	161	Broadcast	Papercuts	The Noise Made by People
Mon Dec  1 03:35:06 2014	155	Soulwax	NY Lipps	Soulwax
Mon Dec  1 03:40:41 2014	156	Anderson	Catherine And The Unexpected Guest	It Runs In The Family
Mon Dec  1 03:45:05 2014	156	Ratatat	Loud Pipes	Classics
Mon Dec  1 03:48:43 2014	152	Juan Mac Lean	One Day	Future Willl Come
Mon Dec  1 03:52:53 2014	153	Disclosure	White Noise Feat Alunageorge	White Noise - Single
Mon Dec  1 03:58:17 2014	149	Body Language	We Got Enough	Social Studies (Deluxe Edition)
Mon Dec  1 04:03:05 2014	146	Cassettes Won't Listen	Metronomes	Small-time Machine
Mon Dec  1 04:06:52 2014	149	Slow Magic	Corvette Cassette	Triangle
Mon Dec  1 04:10:11 2014	150	Neon Indian	Ephemeral Artery	Psychic Chasms
Mon Dec  1 04:12:56 2014	144	Yacht	Tripped And Fell In Love	Shangri-La
Mon Dec  1 04:20:01 2014	148	Datarock	Ugly Primadonna	Datarock
Mon Dec  1 04:23:48 2014	156	Phenomenal Handclap Band	The Unkown Faces At Father James Park	Form And Control
Mon Dec  1 04:27:43 2014	161	Phantogram	Bloody Palms	Eyelid Movies
Mon Dec  1 04:31:05 2014	161	La Roux	As If By Magic	La Roux
Mon Dec  1 04:34:53 2014	158	AlunaGeorge	Bad Idea	Body Music
Mon Dec  1 04:38:02 2014	160	Venue	Desireena	n/a
Mon Dec  1 04:41:15 2014	167	D Damage	Ink 808 (Ink You Lay Remix By Krazy Baldhead)	n/a
Mon Dec  1 04:45:35 2014	167	We Are Enfant Terrible	I Can't Help Myself	The CMJ Player - CMJ 09
Mon Dec  1 04:49:07 2014	166	MGMT	4th Dimensional Transtional	Oracular Spectacular
Mon Dec  1 04:52:57 2014	166	Metric	Front Row	Fantasies
Mon Dec  1 04:56:23 2014	162	Lusine	Another Tomorrow	The Waiting Room
Mon Dec  1 05:00:44 2014	166	All Good Funk Alliance	In The Rain	Jacks of All Trades
Mon Dec  1 05:04:41 2014	168	Justice	Phantom Pt. II [Boys Noize Remix]	Cross [Vinyl]
Mon Dec  1 05:08:08 2014	171	Ladyhawke	Another Runaway	Ladyhawke
Mon Dec  1 05:11:16 2014	177	Ting Tings	Shut Up And Let Me Go	Coachella Sampler 2008
Mon Dec  1 05:14:09 2014	170	Taken By Trees	My Boys	East of Eden
Mon Dec  1 05:17:06 2014	171	Lake Heartbeat	Making Conversation	Trust in Numbers
Mon Dec  1 05:20:20 2014	170	Imperial Teen	Out From Inside	Feel The Sound
Mon Dec  1 05:24:18 2014	174	Madeon	The City (Extended Mix)	The City
Mon Dec  1 05:28:30 2014	172	Pretty Lights	Pretty Lights Vs Radiohead Vs Nirvana Vs Nin	Pretty Lights 2011 Remixes
Mon Dec  1 05:33:31 2014	172	Devo	Mind Games	Something for Everybody
Mon Dec  1 05:35:59 2014	170	Scissor Sisters	Something Like This	Night Work
Mon Dec  1 05:39:06 2014	177	Junkie Xl, Datarock	Gloria Feat. Datarock	Gloria
Mon Dec  1 05:43:06 2014	179	Proprietors Of The Earth	Green Crystals	M1XPLATE
Mon Dec  1 05:47:06 2014	174	Hot Chip	Jelly Babies	Dark and Stormy
Mon Dec  1 05:52:24 2014	170	Alias	Well Water Black (Feat. Yoni Wolf Of Why)	Resurgam
Mon Dec  1 05:57:51 2014	171	Chromeo	Fall Back 2U	White Women
Mon Dec  1 06:03:21 2014	176	Chromatics	Night Drive	Night Drive
Mon Dec  1 06:07:04 2014	187	De Atige	Oh Oh, Let's Go Go	n/a
Mon Dec  1 06:08:42 2014	185	Junior Senior	Itch You Can't Scratch (Album	The Wedding Collection
Mon Dec  1 06:11:43 2014	188	Boys Noize	Lava Lava	Oi Oi Oi
Mon Dec  1 06:15:40 2014	187	LCD Soundsystem	One Touch	This Is Happening
Mon Dec  1 06:23:16 2014	177	MSTRKRFT	Easy Love	The Looks
Mon Dec  1 06:28:19 2014	171	Lemonade	Ice Water	Diver
Mon Dec  1 06:32:44 2014	176	Postal Service	Such Great Heights (John Tejad	Give Up
Mon Dec  1 06:38:30 2014	181	Robert De Long	Global Concepts	n/a
Mon Dec  1 06:42:56 2014	180	Starfucker	Hard Smart Beta	Starfucker
Mon Dec  1 06:44:38 2014	183	Darwin Deez	Bad Day	Darwin Deez
Mon Dec  1 06:47:39 2014	187	Am & Shawn Lee	Suffer Like Me	La Musique Numerique
Mon Dec  1 06:50:29 2014	191	Chemical Brothers	Dissolve	Further (CD/DVD)
Mon Dec  1 06:56:21 2014	193	Tog	Maridalen	Feiring
Mon Dec  1 07:01:59 2014	200	Crystal Castles	Crimewave (Lazrtag Remix)	Crimewave
Mon Dec  1 07:06:26 2014	203	Human Woman	Delusional	Human Woman
Mon Dec  1 07:11:52 2014	202	Architecture In Helsinki	That Beep	Moment Bends
Mon Dec  1 07:15:22 2014	209	William Blakes	The Magician	Wayne Coyne
Mon Dec  1 07:19:21 2014	206	Miike Snow	Song For No One	Miike Snow
Mon Dec  1 07:23:23 2014	202	Brite Futures	Tell It To Me	Dark Past
Mon Dec  1 07:26:30 2014	203	Klubgrun	Fresh Air	Flashlight EP
Mon Dec  1 07:30:23 2014	202	Hey Willpower	Phenomenon	P.D.A.
Mon Dec  1 07:33:54 2014	199	New Young Pony Club	Architect Of Love	The Optimist
Mon Dec  1 07:38:19 2014	198	Phenomenal Handclap Band	Afterglow	Form And Control
Mon Dec  1 07:42:23 2014	202	Metric	Youth Without Youth	Synthetica
Mon Dec  1 07:46:38 2014	206	Body Language	Falling Out	Social Studies (Deluxe Edition)
Mon Dec  1 07:52:07 2014	211	Chvrches	Under The Tide	The Bones Of What You Believe
Mon Dec  1 07:56:35 2014	207	Miniature Tigers	Sex On The Regular	Mia Pharaoh
Mon Dec  1 08:00:09 2014	210	City Light	Apologies	Burned Out Bright
Mon Dec  1 08:02:37 2014	201	Rosebuds	Cemetery Lawn	Night of the Furies
Mon Dec  1 08:06:11 2014	205	Calvin Harris	Merrymaking At My Place (Deadmau 5 Remix)	I Created Disco
Mon Dec  1 08:11:21 2014	206	CSS	Patins	Cansei De Ser Sexy
Mon Dec  1 08:13:44 2014	206	Stereolab	The Ecstatic Static	Chemical Chords
Mon Dec  1 08:18:24 2014	200	Blow	Fists Up	Paper Television
Mon Dec  1 08:22:33 2014	201	Octopus Project	Music Is Happiness	One Ten Hundred Thousand Million
Mon Dec  1 08:26:21 2014	202	Islands	Switched On	Vapours
Mon Dec  1 08:29:42 2014	207	World Of Science	Suburban Royalty	Makeout Music By
Mon Dec  1 08:33:27 2014	215	Via Tania	Become Forest (Grafton Primary Remix) 320 Mp 3	n/a
Mon Dec  1 08:39:18 2014	217	Panamah	Born Af Natten (Miaoux Miaoux Remix)	Sound of Copenhagen Vol. 11
Mon Dec  1 08:44:39 2014	211	Totally Enormous Extinct Dinosaurs	Household Goods	Trouble
Mon Dec  1 08:48:09 2014	216	Anderson	Michael Running On The Asphalt	It Runs In The Family
Mon Dec  1 08:52:43 2014	209	Headlights	School Boys (Cale Parks Remix)	Remixes
Mon Dec  1 08:56:10 2014	209	Ruby Suns	Cinco	Fight Softly
Mon Dec  1 09:00:12 2014	206	AlunaGeorge	Your Drums, Your Love	Body Music
Mon Dec  1 09:03:45 2014	204	Of Montreal	For Our Elegant Caste	Skeletal Lamping
Mon Dec  1 09:06:23 2014	205	Go! Team	Voice Yr Choice (Tobacco Remix)	Rolling Blackouts
Mon Dec  1 09:09:40 2014	208	Faunts	M4 (Part Ii) (The Paronomasiac Remix)	Remixed
Mon Dec  1 09:17:09 2014	211	Phoenix	Drakkar Noir	Bankrupt!
Mon Dec  1 09:20:34 2014	211	Holy Ghost!	Hold On	Mock & Toof Remixes-Hold on [Vinyl]
Mon Dec  1 09:26:25 2014	212	Junior Senior	Dynamite	d-d-don't don't stop the beat [Explicit]
Mon Dec  1 09:29:19 2014	218	Young & Sick	Glass	Glass
Mon Dec  1 09:32:36 2014	216	Datarock	Bulldozer	Datarock Datarock
Mon Dec  1 09:34:28 2014	221	Faint	I Treat You Wrong	Fasciinatiion
Mon Dec  1 09:37:38 2014	220	Krikor & The Dead Hillbillies	God Will Break It All	Land Of The Truth
Mon Dec  1 09:41:24 2014	219	Afrobeta	Nighttime	Under The Streets
Mon Dec  1 09:45:40 2014	212	Metronomy	Radio Ladio	Nights Out
Mon Dec  1 09:49:09 2014	212	Chromeo	Jealous (I Ain't With It)	White Women
Mon Dec  1 09:52:45 2014	219	Big Pink	Dominos	A Brief History of Love
Mon Dec  1 09:56:34 2014	211	Strfkr	While I'm Alive	Miracle Mile
Mon Dec  1 10:00:13 2014	212	Hatiras	I Don't Care (Hatiras Remix)	LA Riots Vol. 2
Mon Dec  1 10:06:39 2014	202	Treasure Fingers	Come True Tonight (Dub Mix)	n/a
Mon Dec  1 10:11:19 2014	198	Ra Ra Riot	Too Too Too Fast	The Rhumb Line
Mon Dec  1 10:14:51 2014	213	Von Iva	Guise	Our Own Island
Mon Dec  1 10:18:33 2014	212	Tog	Luftslott	Feiring
Mon Dec  1 10:22:09 2014	217	William Blakes	Science Is Religion	Meditations for All Seasons
Mon Dec  1 10:25:52 2014	215	Proprietors Of The Earth	Baltimore Collins	M1XPLATE
Mon Dec  1 10:30:47 2014	211	Flaming Lips	Are You A Hypnotist??	Yoshimi Battles The Pink Robots
Mon Dec  1 10:35:26 2014	202	Presets	My People	Apocalypso
Mon Dec  1 10:39:54 2014	194	Seelenluft	I Can See Clearly Now	The Way We Go (Limited Edition)
Mon Dec  1 10:45:07 2014	198	Discovery	It's Not My Fault (It's My Fault)	LP
Mon Dec  1 10:47:32 2014	198	Phon.O	313 Dumpsta Railing	Let's Lazertag Sometime
Mon Dec  1 10:51:35 2014	196	U.S.E	K.I.S.S.I.N.G	L O V E W O R L D RFI Ref v.1 Master
Mon Dec  1 10:56:23 2014	195	Daft Punk	Da Funk	Homework
Mon Dec  1 11:01:59 2014	197	Blue Sky Black Death	Set Fire	Third Party
Mon Dec  1 11:04:22 2014	199	Dirty Vegas	Emma	Electric Love
Mon Dec  1 11:08:10 2014	199	Miike Snow	A Horse Is Not A Home	Miike Snow
Mon Dec  1 11:12:09 2014	196	Naked & Famous	Eyes	Passive Me, Aggressive You
Mon Dec  1 11:16:38 2014	198	Sissy Wish	Dwts	Beauties Never Die
Mon Dec  1 11:20:11 2014	194	We Have Band	Hear It In The Cans	We Have Band: WHB
Mon Dec  1 11:23:55 2014	195	Grimes	Oblivion	Visions
Mon Dec  1 11:28:00 2014	193	Imperial Teen	No Matter What You Say	Feel The Sound
Mon Dec  1 11:31:28 2014	192	Cineplexx	04 A Mi Lado (Remix From Picnic)	Nuevahola
Mon Dec  1 11:36:11 2014	195	Sybastien Tellier	Kilometer (A-trak Main)	n/a
Mon Dec  1 11:40:20 2014	204	Mark Ronson	Stop Me (Dirty South Remix)	Pre-Release Singles Compilation [Hd200732]
Mon Dec  1 11:48:33 2014	192	(!!! Chk Chik Chick)	Am/fm	n/a
Mon Dec  1 11:53:18 2014	189	Vampire Weekend	Diplomat's Son	Contra
Mon Dec  1 11:59:08 2014	186	Ratatat	Dura	LP3
Mon Dec  1 12:02:10 2014	195	Metric	Grow Up And Blow Away	Grow Up and Blow Away
Mon Dec  1 12:06:27 2014	189	Rubin Steiner	Another Record Story	Weird Hits, Two Covers & A Love Song
Mon Dec  1 12:10:32 2014	189	Seyybastien Tellier	Kilometer (A-Trak Extended Dub)	n/a
Mon Dec  1 12:15:35 2014	193	Cagedbaby	Hello There (The Presets Remix)	Will See You Now
Mon Dec  1 12:20:19 2014	197	Mary Onettes	Puzzles	Islands
Mon Dec  1 12:24:32 2014	199	Blood & Sunshine	Change Is In The Weather	Change Is In the Weather EP
Mon Dec  1 12:27:47 2014	197	Au Revoir Simone	Anywhere You Looked	Night Light: Remix Album
Mon Dec  1 12:31:25 2014	199	Chromeo	When The Night Falls	Business Casual (Deluxe Edition)
Mon Dec  1 12:34:57 2014	199	Head Like A Kite	Everyday Should Be A Costume Party	There Is Loud Laughter Everywhere
Mon Dec  1 12:38:04 2014	196	Toro Y Moi	Causers Of This	Causers of This
Mon Dec  1 12:41:18 2014	195	CSS	Jager Yoga	Donkey
Mon Dec  1 12:44:54 2014	190	Phantogram	When I'm Small	Eyelid Movies
Mon Dec  1 12:49:00 2014	198	Ditongo	Salt Lamp	Atalaya
Mon Dec  1 12:52:21 2014	200	Fujiya & Miyagi	Collarbone	Transparent Things
Mon Dec  1 12:56:12 2014	195	Does It Offend You, Yeah	Dawn Of The Dead	You Have No Idea What You're Getting Yourself Into
Mon Dec  1 12:59:35 2014	190	Of Montreal	Brush, Brush, Brush	Music Is... Awesome!
Mon Dec  1 13:01:10 2014	194	Alphawezen	Smile	Smile
Mon Dec  1 13:05:40 2014	192	Malbec	Falling Off	The Answering Machine
Mon Dec  1 13:09:49 2014	192	Red Channels	Forever	Ghetto Cooking EP
Mon Dec  1 13:15:24 2014	194	Poolside	Why You Wanna	Pacific Standard Time
Mon Dec  1 13:20:22 2014	193	J J J	Old People (Take Back The Nite)	n/a
Mon Dec  1 13:25:26 2014	191	Fol Chen	The Idiot	Part I: John Shade, Your Fortune's Made
Mon Dec  1 13:28:22 2014	192	Very Best	Warm Heart Of Africa	Warm Heart Of Africa
Mon Dec  1 13:32:11 2014	191	Phoenix	Long Distance Call	It's Never Been Like That
Mon Dec  1 13:35:09 2014	191	Official Secrets Act	So Tomorrow	Understanding Electricity
Mon Dec  1 13:38:30 2014	185	Hot Chip	Night And Day	In Our Heads
Mon Dec  1 13:42:58 2014	179	New Young Pony Club	Hiding On The Staircase	Fantastic Playroom
Mon Dec  1 13:46:32 2014	179	Flaming Lips	It's Summertime	Yoshimi Battles The Pink Robots
Mon Dec  1 13:50:40 2014	180	Passion Pit	Love Is Greed	Gossamer
Mon Dec  1 13:54:27 2014	174	Kinks	You Really Got Me (Morsy Mix)	Ultimate Collection
Mon Dec  1 13:58:32 2014	171	Sebastien Tellier	Cochon Ville	Cochon Ville EP
Mon Dec  1 14:01:42 2014	167	Lake Heartbeat	Pipedream	Trust in Numbers
Mon Dec  1 14:05:35 2014	170	Midnight Juggernauts	Twenty Thousand Leagues	Dystopia
Mon Dec  1 14:09:58 2014	163	LCD Soundsystem	You Wanted A Hit	This Is Happening
Mon Dec  1 14:18:30 2014	158	Black Gold	The Comedown	Rush
Mon Dec  1 14:21:55 2014	157	Pompeya	Cheenese	Tropical
Mon Dec  1 14:26:23 2014	153	Dntel	(This Is) The Dream Of Evan And Chan (Superpitcher Kompakt Remi	This Is the Dream of Evan and Chan
Mon Dec  1 14:33:11 2014	164	Plushgun	Your Hologram	Me.Me.
Mon Dec  1 14:36:33 2014	160	Ssion	Blonde With U	BENT
Mon Dec  1 14:40:49 2014	163	Rubies	Stand In A Line (Shinichi Osawa Remix)	I Feel Electric / Stand In A Line EP
Mon Dec  1 14:46:38 2014	158	Blackbird Blackbird	Feel It In My Bones	Tangerine Sky
Mon Dec  1 14:50:25 2014	158	Luxury Liners	Valley High	They're Flowers
Mon Dec  1 14:53:27 2014	160	Coconut Records	Nighttiming	Nighttiming
Mon Dec  1 14:56:07 2014	162	Klubgrun	Electric Shock (Dj Gimmix Remix)	Flashlight EP
Mon Dec  1 15:00:45 2014	160	Is Tropical	The Greeks	Kitsune Maison 11
Mon Dec  1 15:04:23 2014	154	Imperial Teen	Over His Head	Feel The Sound
Mon Dec  1 15:08:11 2014	155	Deastro	The Shaded Forests	Keeper's
Mon Dec  1 15:11:25 2014	151	World Court, Yacht	Animal Oracle (Premix)	Our Friends In Hell - Remixes By YACHT
Mon Dec  1 15:14:31 2014	155	Naked & Famous	All Of This	Passive Me, Aggressive You
Mon Dec  1 15:18:29 2014	157	Grimes	Genesis	Visions
Mon Dec  1 15:22:37 2014	164	Animal Collective	What Would I Want Sky	Fall Be Kind
Mon Dec  1 15:29:02 2014	156	CSS	Hangover (RAC Remix)	Hangover + Remixes
Mon Dec  1 15:31:53 2014	155	Via Tania	Become Forest (Grafton Primary Remix	VT DJ Package
Mon Dec  1 15:37:45 2014	154	Atlas Sound	Neon Beanbag (Atlas Sound Southern Baptist Remix)	Chemical Chords
Mon Dec  1 15:42:23 2014	149	Royksopp	The Girl And The Robot	Junior
Mon Dec  1 15:46:19 2014	145	Cassettes Won't Listen	Perfect Day	EVINSPACEY
Mon Dec  1 15:50:26 2014	139	Chromeo	100% (Treasure Fingers BLive Pemberton Remix)	Fancy Footwork
Mon Dec  1 15:55:54 2014	128	Pretty Good Dance Moves	Alive Tonight (Ft. Angelina Lu	Pretty Good Dance Moves
Mon Dec  1 15:59:23 2014	132	Blonde Redhead	Silently	23
Mon Dec  1 16:03:12 2014	130	Stereo Image	Double Mirror	Stereo Image
Mon Dec  1 16:05:53 2014	133	Glasser	Mirrorage	Ring
Mon Dec  1 16:09:31 2014	131	Tog	5 ar fra na	Feiring
Mon Dec  1 16:14:40 2014	131	Islands	No You Don't	Vapours
Mon Dec  1 16:18:22 2014	122	Lotus	Golden Ghost	Lotus
Mon Dec  1 16:23:38 2014	123	Of Montreal	Gallery Piece	Skeletal Lamping
Mon Dec  1 16:27:24 2014	120	Dirty Vegas	Never Enough	Electric Love
Mon Dec  1 16:30:29 2014	121	Datarock	Passive Aggressive	Catcher in the Rye EP
Mon Dec  1 16:34:20 2014	116	Internet	Cocaine	Purple Naked Ladies
Mon Dec  1 16:38:49 2014	117	Space March	Do You Remember My Name	Monumental
Mon Dec  1 16:42:49 2014	117	All Good Funk Alliance	Motivate	Jacks of All Trades
Mon Dec  1 16:45:42 2014	115	Phoenix	Trying To Be Cool	Bankrupt!
Mon Dec  1 16:49:17 2014	112	Justice	Helix	Audo, Video, Disco
Mon Dec  1 16:53:30 2014	108	Falty D L	She Sleeps (2000black Remix)	n/a
Mon Dec  1 16:58:21 2014	103	Electric Blanket	My Eyes My Heart (Seelenluft Remix)	My Eyes My Heart
Mon Dec  1 17:02:33 2014	102	Rafter	No Fucking Around	Animal Feelings
Mon Dec  1 17:05:54 2014	104	Cale Parks	We Can Feel It	To Swift Mars
Mon Dec  1 17:09:29 2014	105	Stereolab	Self Portrait With `Electric Brain`	Chemical Chords
Mon Dec  1 17:12:34 2014	105	Casxio	Boiling Point	Seventeen EP
Mon Dec  1 17:15:59 2014	109	Notwist	Gravity	The Devil, You + Me
Mon Dec  1 17:19:51 2014	111	Body Language	We Got Enough	Social Studies (Deluxe Edition)
Mon Dec  1 17:23:50 2014	112	Hot Chip	How Do You Do	In Our Heads
Mon Dec  1 17:28:24 2014	109	Santogold	Shove It	Santogold
Mon Dec  1 17:32:09 2014	110	Cassius	Toop Toop (Streetlab Mix)	www.streetlab.net
Mon Dec  1 17:38:21 2014	108	Pretty Lights	Out Of Time	Glowing In The Darkest Night
Mon Dec  1 17:43:37 2014	108	Phenomenal Handclap Band	The Written Word	Form And Control
Mon Dec  1 17:47:20 2014	105	Kite In The Air	Filed Away	Kite in the Air
Mon Dec  1 17:52:21 2014	122	Neon Indian	Arcade Blues (Single)	Era Extrana
Mon Dec  1 17:56:46 2014	113	Pompeya	We Like Songs	Tropical
Mon Dec  1 18:01:24 2014	107	New Young Pony Club	Grey	Fantastic Playroom
Mon Dec  1 18:05:19 2014	106	Architecture In Helsinki	Contact High	Moment Bends
Mon Dec  1 18:09:10 2014	108	Rosebuds	I Better Run	Night of the Furies
Mon Dec  1 18:12:52 2014	104	Deastro	Mowgli The Lynx	Ghostly By Night
Mon Dec  1 18:16:39 2014	109	Tobacco	Street Trash	Fucked Up Friends
Mon Dec  1 18:18:30 2014	104	Grand Lake	She's A Hater (James & Evander Remix)	Nevermint
Mon Dec  1 18:22:03 2014	108	Her Space Holiday	Wrapped In Plastic	Let's Get Quiet Vol. 2 [EP]
Mon Dec  1 18:25:31 2014	106	Madeon	Icarus (Live Version)	The City
Mon Dec  1 18:30:42 2014	109	Blow	The Sky Opened Wide Like The Tide	Poor Aim: Love Songs
Mon Dec  1 18:32:45 2014	112	Eliot Lipp	The Time Is Right	Shark Wolf Rabbit Snake
Mon Dec  1 18:37:00 2014	108	Bachelorette	Donkey	My Electric Family
Mon Dec  1 18:40:26 2014	113	Junior Senior	Hello	Hey Hey My My Yo Yo
Mon Dec  1 18:41:07 2014	113	Sugar & Gold	Closer	Get Wet!
Mon Dec  1 18:44:22 2014	103	Digitalism	2 Hearts	I Love You, Dude
Mon Dec  1 18:48:20 2014	106	Passion Pit	Make Light	Manners
Mon Dec  1 18:52:59 2014	103	LCD Soundsystem	Home	This Is Happening
Mon Dec  1 19:00:56 2014	100	Junior Senior	Shake Me Baby	d-d-don't don't stop the beat [Explicit]
Mon Dec  1 19:04:20 2014	103	Daft Punk	Short Circuit	Discovery
Mon Dec  1 19:07:35 2014	103	Ember FX	Fly	Lights & Action
Mon Dec  1 19:12:20 2014	101	Glass	Washed Up	At Swim Two Birds
Mon Dec  1 19:18:06 2014	101	Sal Zaratte	Cross The Line	n/a
Mon Dec  1 19:23:06 2014	103	Hot Chip	Motion Sickness	In Our Heads
Mon Dec  1 19:28:19 2014	104	Francis And The Lights	The Top	A Modern Promise
Mon Dec  1 19:30:47 2014	104	Fol Chen	No Wedding Cake	Part I: John Shade, Your Fortune's Made
Mon Dec  1 19:34:22 2014	98	Passion Pit	On My Way	Gossamer
Mon Dec  1 19:37:58 2014	98	Ledge	Precious Town	This is Ledge
Mon Dec  1 19:40:47 2014	98	Whip	Frustration	X Marks Destination
Mon Dec  1 19:45:43 2014	94	Blow	True Affection	Paper Television
Mon Dec  1 19:48:59 2014	91	Chromeo	Tenderoni (Mstrkrft Remix)	Tenderoni CDS
Mon Dec  1 19:53:43 2014	83	Bloc Party	Hunting for Witches (Villains Electro-Banger Remix)	A Weekend in the City
Mon Dec  1 19:58:47 2014	85	Casiokids	Elefantenes Hemmelige Gravplass	Aabenbaringen Over Aaskammen
Mon Dec  1 20:03:17 2014	90	The Preatures	Is This How You Feel (Classixx Remix)	Is This How You Feel? (Classixx Remix)
Mon Dec  1 20:06:49 2014	88	Hood Internet	I Ain't That Earthquake (Wallpaper. Vs Little Boots)	thehoodinternet.com
Mon Dec  1 20:10:08 2014	89	Phenomenal Handclap Band	15 To 20 (Montee Remix)	15 to 20 / You'll Disappear Remixes
Mon Dec  1 20:15:28 2014	86	Blackbird Blackbird	Feel It In My Bones (Instrumental)	Tangerine Sky
Mon Dec  1 20:19:14 2014	86	Deerhunter	Fountain Stairs	Halcyon Digest
Mon Dec  1 20:21:43 2014	87	N.A.S.A.	The People Tree Feat. David Byrne, Chali 2na, Gift Of Gab & Z-T	n/a
Mon Dec  1 20:25:59 2014	87	Black Ghosts	I Don't Know	The Black Ghosts
Mon Dec  1 20:29:00 2014	86	Sebastian	Love In Motion [Feat Mayer Hawthorne]	Total
