Mon Apr  1 00:02:01 2013	59	Lisa Papineau	Out To You (Chachi Jones Remix)	Night Moves (Remixes)
Mon Apr  1 03:57:19 2013	88	Aphex Twin	Smelly Cunts (From	n/a
Mon Apr  1 03:59:43 2013	87	Autechre	Second Peng	Tri Repetae++
Mon Apr  1 04:10:14 2013	84	Samarah	Static Patterns	Robots Smile Too
Mon Apr  1 04:14:05 2013	81	Jonas The Plugexpert	Emotieloos	Cloud Cover
Mon Apr  1 04:17:41 2013	80	Verbose	Watchingyouglow	friends we met along the way
Mon Apr  1 04:21:35 2013	81	Another Electronic Musician	Late Monday	States of Space
Mon Apr  1 04:26:08 2013	83	Kit Clayton	Loads Early Like Normal	Clicks + Cuts (2 of 2)
Mon Apr  1 04:29:48 2013	78	Chachi Jones	Am Hits	Dymaxion Daydream
Mon Apr  1 04:32:38 2013	80	Yello	Bougainville	The Eye
Mon Apr  1 04:36:27 2013	81	Textura	Ten Dimes Track 09	Ten dimes
Mon Apr  1 04:41:29 2013	77	Proem	Skylup	Negativ
Mon Apr  1 04:46:01 2013	78	Domotic	Smith, Klaus & White	Seasonal Greetings
Mon Apr  1 04:50:43 2013	79	Nuuro	Ambience Is Unimportant	All Clear
Mon Apr  1 04:51:10 2013	79	Ylid	Broken	saccade
Mon Apr  1 04:56:46 2013	83	Qua	Stranger Comforts Have Slipped By (Pt. 1 & Pt. 2)	Painting Monsters On Clouds
Mon Apr  1 05:06:50 2013	80	Boards Of Canada	Satellite Anthem Icarus	The Campfire Headphase
Mon Apr  1 05:11:33 2013	86	Jega	Stainless Steel Drum	n/a
Mon Apr  1 05:18:36 2013	82	Yasushi Miura	Night Fall	Tide
Mon Apr  1 05:20:00 2013	79	Slicker	Hard	The Latest
Mon Apr  1 05:22:16 2013	80	Patrick Pulsinger	A Piece Of Me	Porno
Mon Apr  1 05:26:40 2013	84	People Press Play	Studio	People Press Play
Mon Apr  1 05:30:06 2013	86	Curd Duca	Mid	Elevator 3
Mon Apr  1 05:30:34 2013	86	Ethan E Eves	Elektron Love	F And S
Mon Apr  1 05:38:43 2013	89	Static	Colours In Patches	Re: Talking About Memories
Mon Apr  1 05:43:00 2013	88	Shuttle 358	Frame	Ambient Systems: Initialized
Mon Apr  1 05:50:28 2013	95	Gescom	72	MiniDisc
Mon Apr  1 05:52:01 2013	95	Shigeto	What We Held On To	What We Held On To EP
Mon Apr  1 05:56:10 2013	84	Gasp	Policing The Aberrations	Gasp - If Only The Cold Morning Was Warm As Us By Night
Mon Apr  1 06:01:48 2013	89	Tycho	Coastal Brake (Lusine Remix)	Coastal Brake
Mon Apr  1 06:06:31 2013	90	Yoko Solo	Covered In Feces.Stronger Than You, Rotten	The Beeps
Mon Apr  1 06:10:34 2013	90	Shlohmo	Tomato Squeeze	Shlomoshun Deluxe
Mon Apr  1 06:13:20 2013	97	Yvat	Acumen	mentation 01
Mon Apr  1 06:16:34 2013	97	Prefuse 73	Another One Long Gone	Security Screenings
Mon Apr  1 06:18:40 2013	96	Tachikoma-Kun	Mastering Life.	Gentle, Amoral Robot Music
Mon Apr  1 06:24:35 2013	94	Seefeel	Climactic Phase #3	Quique
Mon Apr  1 06:32:40 2013	93	Rumpistol	Teddy 114	n/a
Mon Apr  1 06:37:06 2013	95	Isan	One Man Abandon	Meet Next Life
Mon Apr  1 06:40:51 2013	99	Frank Murder	Straumsvik	stö›in
Mon Apr  1 06:43:50 2013	100	Iameb 57	Not Understanding Why	Roke Nip
Mon Apr  1 06:45:56 2013	99	Monoceros	Little Pieces	Tales for silent nights
Mon Apr  1 06:50:30 2013	94	Ruzina Frankulin	Silk	Electroblue
Mon Apr  1 06:56:24 2013	92	Interconnected	Springs	Current Flow
Mon Apr  1 07:00:39 2013	96	E N V (Itre)	Marbl	n/a
Mon Apr  1 07:04:18 2013	100	Olafur Arnalds & Nils Frahm	A 2 (Max Cooper Remix)	n/a
Mon Apr  1 07:13:18 2013	105	Chaos A.d.	Up The Gary	Buzz Caner
Mon Apr  1 07:19:26 2013	97	Bohko	Walk Her (Wildey Remix)	Sulis EP
Mon Apr  1 07:22:08 2013	91	Exuviae	Shadow People	The White Underneath
Mon Apr  1 07:27:41 2013	93	Lusine Icl	Isa	Condensed
Mon Apr  1 07:32:32 2013	95	Matmos	Ur Tchun Tan Tse Qui	Mutek 2001
Mon Apr  1 07:37:34 2013	93	Pogo	Sing 2 Self	Table Scraps
Mon Apr  1 07:40:33 2013	96	Autechre	Pen Expers	Confield
Mon Apr  1 07:47:47 2013	87	Cornelius	Fit Song (The Books Remix	n/a
Mon Apr  1 07:51:46 2013	95	Aetmos	Virus	n/a
Mon Apr  1 07:56:05 2013	94	Elephant And Castle	Rgb	Transitions
Mon Apr  1 07:59:34 2013	94	Octagon Man	Eff Emm	Ito Calculus
Mon Apr  1 08:03:21 2013	91	Nils Nilsson	Montgomery Friendwasher	19 Home Listening Favorites
Mon Apr  1 08:07:29 2013	88	Loscil	Hydrogen	Triplepoint
Mon Apr  1 08:10:47 2013	93	Xela	Drawing Pictures Of Girls	Tangled Wool
Mon Apr  1 08:15:28 2013	93	Mandrake	Blue Flotations	Shake Your Space Traveller
Mon Apr  1 08:18:26 2013	95	Kochu	Art Of Painting	Sound Forms
Mon Apr  1 08:27:23 2013	97	Palac	Neutra	Ghosts
Mon Apr  1 08:33:50 2013	107	Machine Drum	Are I (Xela Soul In The Machin	Now You Know
Mon Apr  1 08:39:31 2013	104	Electric Okra	Angel-headed Hipsters	Claire Rocket
Mon Apr  1 08:43:16 2013	108	Mu-ziq	Burnt Sienna	Tango N Vectif
Mon Apr  1 08:50:59 2013	101	Boards Of Canada	Kid For Today	In a Beautiful Place Out in the Country
Mon Apr  1 08:57:12 2013	106	Aspen	This Will Ruin You For Other Men	Music From Passing Cars
Mon Apr  1 09:01:48 2013	122	Amon Tobin	Piece Of Paper	Isam
Mon Apr  1 09:04:24 2013	115	Vincent Parker	Living With You	Bit Rocker
Mon Apr  1 09:07:11 2013	112	Infantjoy	Someone With Handshake	With
Mon Apr  1 09:10:36 2013	106	Enabl.ed	Washday	n/a
Mon Apr  1 09:12:38 2013	106	Flashbulb	Kirlian Isles Ii	Kirlian Selections
Mon Apr  1 09:16:17 2013	112	Coppe	Slipsome	9+10=10th. Anniversary : Coppe' {9}
Mon Apr  1 09:19:51 2013	111	Transient	Green Butter	green butter ep
Mon Apr  1 09:23:15 2013	111	A Positive Life	Hypnosystem	Ancient Alien
Mon Apr  1 09:34:17 2013	108	Amp	Staircase	Amp
Mon Apr  1 09:44:44 2013	108	Ruxpin	The Boy Who Gazed At The Eclipse	Where Do We Float From Here?
Mon Apr  1 09:48:19 2013	108	Vessel	As She Explodes	south
Mon Apr  1 09:54:16 2013	112	Remus	Her Bowed Sawtooth	Humanworkshop
Mon Apr  1 10:00:08 2013	108	Jon Hopkins	100	Contact Note
Mon Apr  1 10:05:56 2013	113	Four Tet	My Angel Rocks Back And Forth (Four Teas On English Time	Rounds
Mon Apr  1 10:13:06 2013	116	Autechre	Treale	Oversteps
Mon Apr  1 10:19:06 2013	117	Self Oscillate	Hyx	Self Oscillate
Mon Apr  1 10:25:06 2013	121	Nobody	You Can Know Her	And Everything Else...
Mon Apr  1 10:29:43 2013	120	Gescom	48	MiniDisc
Mon Apr  1 10:30:54 2013	115	Luis Vaquero	Missing	Atalsina
Mon Apr  1 10:35:58 2013	116	Chachi Jones	Lanquidity	Dymaxion Daydream
Mon Apr  1 10:40:24 2013	121	Silent Strangers	Notion4	Anagram1:Dither
Mon Apr  1 10:44:37 2013	112	A Grape Dope	Am Nasty	Immediate Action
Mon Apr  1 10:50:18 2013	103	Isan	Sat 73	Meet Next Life
Mon Apr  1 10:56:17 2013	108	Curd Duca	Fire	Elevator 3
Mon Apr  1 10:56:24 2013	108	Ligyro	Intro	Ligyro
Mon Apr  1 10:57:44 2013	111	Monolake	Perpetuum	Interstate
Mon Apr  1 11:04:25 2013	107	Slicker	Lovin To You	The Latest
Mon Apr  1 11:08:37 2013	108	Sine Lasts	Sine Lasts 13	Outlet Sounds Recordings
Mon Apr  1 11:21:17 2013	92	Boards Of Canada	Everything You Do Is A Balloon	Boc Maxima
Mon Apr  1 11:27:55 2013	92	Lusine Icl	Rabblerouse	Condensed
Mon Apr  1 11:32:31 2013	96	David Last	Badlands	The Push Pull
Mon Apr  1 11:36:47 2013	106	Mandrake	Silver Stain	Shake Your Space Traveller
Mon Apr  1 11:41:20 2013	100	Static	A Song For You	Re: Talking About Memories
Mon Apr  1 11:45:39 2013	101	A-Ux	Epilogue	A-ux.com
Mon Apr  1 11:50:25 2013	99	Styrofoam	Break The Floor	Rr20 Styrofoam - Ep2 3"CD
Mon Apr  1 11:57:02 2013	102	Exposures	A Machine Under Influence	Lost Recordings 2000-2004
Mon Apr  1 11:59:51 2013	100	Bonobo	05	n/a
Mon Apr  1 12:04:18 2013	101	Yasushi Miura	Direct Current 18	Direct Current (Instant construction series No.9)
Mon Apr  1 12:04:33 2013	101	Inhaler	Mama Miche (Rocks Off)	Dirty Sounds of the Underground
Mon Apr  1 12:08:39 2013	102	Sbtrkt	Ready Set Loop	Sbtrkt
Mon Apr  1 12:11:37 2013	101	E N V (Itre)	Arrtfakt	n/a
Mon Apr  1 12:16:01 2013	103	Enicon	M32	n/a
Mon Apr  1 12:20:26 2013	109	Denzel And Huhn	Konide	Time Is A Good Thing
Mon Apr  1 12:23:35 2013	109	Drifting In Silence	Oracle	Ladderdown
Mon Apr  1 12:28:31 2013	102	Audiokonstrukte	Slow The Moment	City Echoes
Mon Apr  1 12:33:44 2013	102	Freeform	Big Top	Human
Mon Apr  1 12:38:16 2013	100	Telefon Tel Aviv	Fahrenheit Fair Enough (Prefuse 73 Bonus Beats Remix)	Immediate Action
Mon Apr  1 12:41:24 2013	105	Reverie Create	Renscue	Cinoci Records Presents... Broadcast
Mon Apr  1 12:45:10 2013	110	Aztech	Mumine	Chiller Waves
Mon Apr  1 12:51:29 2013	113	Karsten Pflum	Ube Ii	Flugten Fra Ar 2000
Mon Apr  1 12:54:38 2013	116	Egg	Danyzon	Don't Postpone Joy
Mon Apr  1 13:00:07 2013	117	Naum Sinrike	Tik-tak	n/a
Mon Apr  1 13:02:38 2013	118	Future 3	It's That Time Again	Seasonal Greetings
Mon Apr  1 13:05:46 2013	114	Quphonic	Tansistor	A: Supermassive
Mon Apr  1 13:07:34 2013	116	Dirk Geiger	Twin Flame (Tapage Remix)	Elf Morgen
Mon Apr  1 13:11:37 2013	113	Various Artists	Testfour	Warp 10 + 2 (Classics 89-92)
Mon Apr  1 13:17:24 2013	114	Faction	Spring Cells	The End of Tel Aviv
Mon Apr  1 13:23:09 2013	119	Eastern Sun	The I Of Spirit	In Emptiness
Mon Apr  1 13:28:17 2013	119	Kilowatts	Forget	Problem/Solving
Mon Apr  1 13:30:18 2013	120	Some Water And Sun	A Oh	All My Friends Have To Go
Mon Apr  1 13:33:29 2013	116	Autechre	Known(1)	Oversteps
Mon Apr  1 13:38:05 2013	113	Gate Zero	White Sand Part 1	Black Dust
Mon Apr  1 13:44:50 2013	112	Flashbulb	Highways East	Kirlian Selections
Mon Apr  1 13:46:44 2013	111	Barbara Morgenstern & Robert Lippok	Please Wake Me For Meals	Tesri
Mon Apr  1 13:50:25 2013	113	Detektivbyran	Neonland	Building A Better Robot - vol.1
Mon Apr  1 13:53:23 2013	107	Kid Spatula	Cough	Spatula Freak
Mon Apr  1 13:58:45 2013	113	Bola	Magnasushi	Fyuti
Mon Apr  1 14:05:45 2013	115	Rei Harakami	Own Cake	Rei Harakami selected re-mix & re-arrangement works 1
Mon Apr  1 14:10:52 2013	117	Icarus	First Inf (E) Raence (Karsten Pflum Remix)	n/a
Mon Apr  1 14:14:59 2013	115	Nauseous Youth Future	Hhh	Dosage
Mon Apr  1 14:19:36 2013	114	Mantacoup	Sap	Collection 2 - Moving
Mon Apr  1 14:26:38 2013	105	Opiate	Opi T T T	n/a
Mon Apr  1 14:31:11 2013	99	Lali Puna	Awaiting An Accident (Lali Pun	I Thought I Was Over That
Mon Apr  1 14:34:42 2013	104	Ilkae	Push Pop Nil	Pistachio Island
Mon Apr  1 14:36:17 2013	104	Gescom	43	MiniDisc
Mon Apr  1 14:37:06 2013	104	Samarah	Disconnected	Falling Away
Mon Apr  1 14:39:16 2013	99	Ruzina Frankulin	Global	Electroblue
Mon Apr  1 14:45:29 2013	101	Touane	The River We We're	Awake
Mon Apr  1 14:49:51 2013	101	Blackdaylight	Daylight 180	Blackdaylight Live
Mon Apr  1 14:52:24 2013	99	Valgeir Sigurysson	Focal Point	n/a
Mon Apr  1 14:58:23 2013	97	Ai M E	When Your Place Your Hands Over Your Eyes	n/a
Mon Apr  1 15:02:23 2013	94	Rumpistol	Plus 3dub	n/a
Mon Apr  1 15:07:36 2013	99	W A R Lo Z	Let Her Go	n/a
Mon Apr  1 15:12:15 2013	102	302 Acid	Aiboc	0005 (em:t records)
Mon Apr  1 15:17:56 2013	103	Cex	Texas Menstruates	Oops, I Did It Again!
Mon Apr  1 15:21:36 2013	96	Meat Beat Manifesto	Prime Audio Soup (Vegetarian Soup By Boards Of Canada)	Prime Audio Soup
Mon Apr  1 15:27:59 2013	106	Detroit Escalotor Co.	Sil Lum Tao	Black Buildings
Mon Apr  1 15:33:22 2013	105	Return To Mono	See You On The Other Side	Framebreaker
Mon Apr  1 15:36:17 2013	98	A. D. L. R.	Personal Grids	Foam On The Waves Of Space-Time... (master_320_mp3)
Mon Apr  1 15:40:16 2013	96	Jon Hopkins	Colour Eye	Insides
Mon Apr  1 15:44:30 2013	93	Proem	Enough Conflict	Enough Conflict
Mon Apr  1 15:47:22 2013	92	Isan	No. 3. (Lent Et Grave)	A Morr Music Covers Compilation
Mon Apr  1 15:49:20 2013	90	Keston And Westdal	Six Weeks	One Day to Save All Life
Mon Apr  1 15:55:04 2013	94	Polygon Window	Quoth	Quoth EP
Mon Apr  1 16:00:39 2013	90	Autechre	Pce Freeze 2.8i	move of ten
Mon Apr  1 16:05:50 2013	83	Beta-Resercyclic Acid	Que Va Hijueputa	Golem Salad
Mon Apr  1 16:10:03 2013	84	Star Slinger	Extra Time	Volume 1
Mon Apr  1 16:12:30 2013	83	DooQ	Ekaarian	Fingertip Springs
Mon Apr  1 16:16:23 2013	85	Detroit Escalotor Co.	Point Of Entry	Black Buildings
Mon Apr  1 16:21:29 2013	82	Various Artists	Forgemasters	n/a
Mon Apr  1 16:26:23 2013	82	Eu	40 New Osc's	colder
Mon Apr  1 16:27:58 2013	78	Room	My Bed	Forms Elastic
Mon Apr  1 16:29:04 2013	79	Acustic	Ose 2	Welcome
Mon Apr  1 16:33:15 2013	77	Vladislav Delay	Lokakuu	Demo(n) Tracks
Mon Apr  1 16:36:04 2013	79	Patrick Pulsinger	Hesitate	Porno
Mon Apr  1 16:40:51 2013	78	Rechenzentrum	Synchron	Dis-Patched: Live Recordings From Belgrade's Dis-Patch Festival
Mon Apr  1 16:46:05 2013	82	Anklebiter	The Best People	Raintree
Mon Apr  1 16:51:29 2013	85	Denzel And Huhn	Chicago	Time Is A Good Thing
Mon Apr  1 16:54:58 2013	86	Yasushi Miura	Kangaroo	Steps
Mon Apr  1 16:56:49 2013	83	Bola	W.i.k.	Soup
Mon Apr  1 17:02:21 2013	75	Carmen Rizzo	Alta Moda	The Space Left Behind
Mon Apr  1 17:05:49 2013	72	Microesfera	Rever Up (Fax Rmx)	Negative
Mon Apr  1 17:11:02 2013	72	Lloop	Mona Lisa	warm
Mon Apr  1 17:18:44 2013	73	Weave	Interlude 2	of the nature tone
Mon Apr  1 17:19:55 2013	72	Monolake	Gecko	Interstate
Mon Apr  1 17:22:04 2013	73	Christoph Schindling	Karpfenteich	Ten Short Stories
Mon Apr  1 17:25:55 2013	70	Curd Duca	Rev	Elevator 3
Mon Apr  1 17:26:13 2013	70	Rena Jones	Undercurrent	Driftwood
Mon Apr  1 17:30:44 2013	73	Aphex Twin	Melodies From Mars	Selected Ambient Works 85-92
Mon Apr  1 17:32:57 2013	72	Poborsk	Femfliq	cactus island 023 brittle behavior
Mon Apr  1 17:36:23 2013	70	Aspen	Questions . Answers	Are You That Retail Snob?
Mon Apr  1 17:37:04 2013	70	Nuuro	The Walls	All Clear
Mon Apr  1 17:40:56 2013	63	E N V (Itre)	S 6chs	n/a
Mon Apr  1 17:42:42 2013	64	Isan	Scoop Rmx	Putting The Morr Back In Morrissey
Mon Apr  1 17:47:48 2013	72	Remote Viewer	I Waited But Nothing Happened	Here I Go Again On My Own
Mon Apr  1 17:52:36 2013	66	Four Tet	Sing	There Is Love In You
Mon Apr  1 17:59:14 2013	64	Yvat	Seiches	cyma
Mon Apr  1 18:01:21 2013	61	Ihan	Sans Titre No. 2	Clicks + Cuts (2 of 2)
Mon Apr  1 18:05:04 2013	60	Boards Of Canada	Into The Rainbow Vein	The Campfire Headphase
Mon Apr  1 18:05:36 2013	60	Saru	Artificial Heart	Machine (Unmixed Version)
Mon Apr  1 18:14:16 2013	65	Slicker	For Late	The Latest
Mon Apr  1 18:18:21 2013	63	Beat.dowsing	Chocolate	Trigger.Melodies
Mon Apr  1 18:22:43 2013	62	Digitonal	Drencrom	Be Still My Bleeping Heart
Mon Apr  1 18:32:34 2013	60	Oti	Little Tummies (For Sinead)	Intricate Maximals
Mon Apr  1 18:34:42 2013	60	Cyclotron	Space Adventures	post modem
Mon Apr  1 18:38:14 2013	60	Electric Bird Noise	Moments Like Last Night Make Me Wanna Believe In Ghost	Fragile Hearts.....Fragile Minds
Mon Apr  1 18:40:57 2013	59	Gasman	Prankton Remix	Formulae Remixes
Mon Apr  1 18:46:29 2013	59	Plaid	Plaid	Parts in the Post
Mon Apr  1 18:50:59 2013	57	Chris Zippel	Hd Archives	Genuine Horizon
Mon Apr  1 18:54:36 2013	61	Rei Harakami	Again (Okihide Cx Audio Ie Remix)	Trace Of Red Curb
Mon Apr  1 19:01:40 2013	63	Coppe	You Don't Know What Love Is	Artificial Insemination
Mon Apr  1 19:04:48 2013	58	Autechre	Io	Quaristice
Mon Apr  1 19:08:01 2013	54	Donato Wharton	Built To Fail	Trabanten
Mon Apr  1 19:12:36 2013	60	Arovane	Silicad	Occer
Mon Apr  1 19:16:41 2013	61	Verbose	Vertigo	resolve
Mon Apr  1 19:18:53 2013	60	Sintetic-collage	(Intrludio)	instantes
Mon Apr  1 19:21:27 2013	62	Detroit Escalotor Co.	Freeway	Black Buildings
Mon Apr  1 19:23:59 2013	59	Badly Drawn Boy	Badly Drawn Boy	n/a
Mon Apr  1 19:28:48 2013	63	Chachi Jones	Run, Stop	Dymaxion Daydream
Mon Apr  1 19:33:27 2013	66	Yunx	Beavhead	SO*_WHATtypeofMUSICDOYOUMAKE*
Mon Apr  1 19:40:15 2013	67	Maikko	Poleo	Polystatic
Mon Apr  1 19:43:41 2013	67	Reef Project	Basking Shark	Adrift
Mon Apr  1 19:48:34 2013	62	Soundhacker	In Twin Cities	Backat EP
Mon Apr  1 19:52:23 2013	62	Phortran	Lazy Days	conjurations
Mon Apr  1 19:57:35 2013	61	Kiyo	Bear In. Warm-Noiz (Noor Extended Version)	71:36 (Remixes by Kettel, Richard Devine, Julien Neto, Machinedrum)
Mon Apr  1 20:11:14 2013	56	Octavcat	Biggerabit	The EPs 2003 - 2004
Mon Apr  1 20:16:03 2013	60	Squarepusher	Shin Triad (Wagonchrist Mix)	Music Is Rotted One Note
Mon Apr  1 20:20:14 2013	63	Yasushi Miura	Direct Current 07	Direct Current (Instant construction series No.9)
Mon Apr  1 20:20:49 2013	63	Ultre	Nobodies Favourite	All The Darkness Has Gone To Details
Mon Apr  1 20:25:02 2013	63	Anois	Tracery On A Frosted Window	Tracery On A Frosted Window EP
Mon Apr  1 20:28:04 2013	62	302 Acid	Tunnel Vision	0005 (em:t records)
Mon Apr  1 20:30:16 2013	62	Room	Field Of Green	Forms Elastic
Mon Apr  1 20:35:04 2013	65	Curd Duca	Soul	Elevator 3
Mon Apr  1 20:35:36 2013	63	David Penna	Chemical X	n/a
Mon Apr  1 20:40:30 2013	66	Ulrich Schnauss	Knuddelmaus	Far Away Trains Passing By
Mon Apr  1 20:47:20 2013	67	Tachikoma-Kun	The Secret Of Caring For Life.	Gentle, Amoral Robot Music
Mon Apr  1 20:50:44 2013	70	Domenico Ferrari	D& F	Domenico Ferrari 3
Mon Apr  1 20:57:14 2013	63	Lusine	Make It Easy	Serial Hodgepodge
Mon Apr  1 21:02:26 2013	66	Console	Display	Pan Or Ama
Mon Apr  1 21:08:17 2013	64	Mathon	Hohen Ratien (Mathias Grassow And Tomas Weiss Remix)	Via Mala - The Remixes
Mon Apr  1 21:15:21 2013	70	Antiguo Automata Mexicano	Malandre De Culto	Kraut Slut
Mon Apr  1 21:22:18 2013	67	Isan	Corundum	plans drawn in pencil
Mon Apr  1 21:25:35 2013	65	Yvat	Seismicrophone	cyma
Mon Apr  1 21:29:27 2013	66	R Garcia	Spec Racer	Animal Outline
Mon Apr  1 21:31:42 2013	64	Monolake	Terminal	Interstate
Mon Apr  1 21:37:40 2013	62	Bola	Para Qweqway	Mauver
Mon Apr  1 21:43:55 2013	63	Cyscape	Elumina	Collection 2 - Moving
Mon Apr  1 21:48:48 2013	63	Kiln	Rustdusk	Dusker
Mon Apr  1 21:53:17 2013	64	Microesfera	Reenvio	Negative
Mon Apr  1 21:58:59 2013	58	Autechre	Fwz E	n/a
Mon Apr  1 22:01:35 2013	57	Patrick Pulsinger	Free Smack	Porno
Mon Apr  1 22:07:28 2013	55	John Hughes	Got Me Lost, Driving In La (Telefon Tel Aviv Remix)	Remixes Compiled
Mon Apr  1 22:10:19 2013	54	Kilowatts	Two_Days_Off(Deru_Remix)	n/a
Mon Apr  1 22:15:04 2013	59	David Penna	Chemical X	n/a
Mon Apr  1 22:20:04 2013	60	Tetsu Inoue	Plug	Psycho-Acoustic
Mon Apr  1 22:23:13 2013	58	Hideki Takamoto	Send To The End	n/a
Mon Apr  1 22:28:16 2013	61	Elephant And Castle	Rgb	Transitions
Mon Apr  1 22:31:48 2013	62	Signaldrift	Yellow Leaves	Set Design
Mon Apr  1 22:38:01 2013	63	Self Oscillate	Tunneling	Self Oscillate
Mon Apr  1 22:41:28 2013	58	Samarah	Why Birds Do Fly	Falling Away
Mon Apr  1 22:44:14 2013	56	Boards Of Canada	Tears From The Compound Eye	The Campfire Headphase
Mon Apr  1 22:47:13 2013	61	Weave	Interlude	of the nature tone
Mon Apr  1 22:49:02 2013	59	Studio Pankow	Jessner Strasse (The Joint	Linienbusse
Mon Apr  1 22:55:15 2013	62	Yasushi Miura	Direct Current 24	Direct Current (Instant construction series No.9)
Mon Apr  1 22:55:35 2013	62	Squarepusher	The Swifty	Feed Me Weird Things
Mon Apr  1 23:00:52 2013	67	Zegunder	Fish & Chips	Distant Birds? Thought They Were Leaves
Mon Apr  1 23:03:55 2013	71	Sense	Walking Water	small things
Mon Apr  1 23:04:48 2013	71	Upside Down Umbrella	Trepid	Are You Walking In The Rain?
Mon Apr  1 23:15:37 2013	71	Coppe	Shabondama	8
Mon Apr  1 23:18:43 2013	71	Piiiq	Raulection	Cloud Cover
Mon Apr  1 23:24:35 2013	62	Commander	Slumber	friends we met along the way
Mon Apr  1 23:29:12 2013	65	Flashbulb	Blackout	Kirlian Selections
