Wed Jan  1 00:01:17 2014	198	B.b. King	Auld Lang Syne	A Christmas Celebration Of Hope
Wed Jan  1 01:52:54 2014	203	Dean Martin	I'll Be Home For Christmas	Christmas With Dino
Wed Jan  1 01:55:21 2014	199	Kay Starr	(Everybody's Waiting' For) The Man In The Bag	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 01:58:01 2014	201	Les Brown, Starlighters	I've Got My Love To Keep Me Warm, Jing-A-Ling	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 02:03:18 2014	205	Groovecatcher	O Come O Come Emmanuel	The Mistletoe Lounge
Wed Jan  1 02:08:18 2014	212	Late Night Alumni	Songs Of The Morning	hOMe For The Holidays
Wed Jan  1 02:12:25 2014	218	Electric Tabernacle Symphony	Dreaming Of Santa	hOMe For The Holidays Volume Two
Wed Jan  1 02:15:59 2014	213	Mel Torme	The Christmas Song (Michael Kessler Open Fire Mix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 02:19:33 2014	212	Bob Atcher, Dinning Sisters	Christmas Island	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 02:21:55 2014	213	Pizarelli, John	What Are You Doing New Year's Eve	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 02:25:58 2014	213	Manhattan Transfer	Happy Holiday, The Holiday Season (Medley)	The Christmas Album
Wed Jan  1 02:29:54 2014	215	Hollyridge Strings	Little Saint Nick	Ultra-Lounge Christmas Cocktails Vol. 4
Wed Jan  1 02:32:08 2014	219	Jeff Lins	Little Drummer Boy	Concord Jazz Christmas 2
Wed Jan  1 02:35:53 2014	220	Jack Jones	Sleigh Ride	Swingin' Christmas
Wed Jan  1 02:38:35 2014	219	Tetsui Nagaka	Faithful Ye Come	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 02:42:26 2014	223	Charles Brown	Merry Christmas Baby (Mno Remix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 02:47:11 2014	225	Tex Beneke	A Root'n Toot'n Santa Claus	Swingin' Christmas
Wed Jan  1 02:50:11 2014	224	Louis Armstrong & The All Stars	Christmas Night In Harlem	Swingin' Christmas
Wed Jan  1 02:52:41 2014	223	Amazonics	Winter Wonderland	Christmas Chill Out
Wed Jan  1 02:55:15 2014	224	Herb Alpert	Let It Snow, Let It Snow, Let It Snow	Herb Alpert & The Tijuana Brass Christmas Album
Wed Jan  1 02:58:49 2014	226	Ray Anthony	Christmas Trumpets, We Wish You A Merry Christmas	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 03:03:10 2014	227	Julie London	I'd Like You For Christmas	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 03:05:46 2014	226	Arthur Lyman	White Christmas	With A Christmas Vibe
Wed Jan  1 03:08:36 2014	223	Sammy Davis Jr.	Jingle Bells	Christmas With The Rat Pack
Wed Jan  1 03:10:45 2014	222	Phantom Planet	Carol Of The Bells	Christmas Calling
Wed Jan  1 03:12:36 2014	224	Kurt Elling	Cool Yule	Yule Be Boppin'
Wed Jan  1 03:16:19 2014	226	Perfect Project	Santa Baby	The Mistletoe Lounge
Wed Jan  1 03:19:26 2014	230	Berlin Symphony Orchestra	The Nutcracker Suite (Baz Kuts Breaks Mix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 03:23:37 2014	227	Frank Sinatra	I Believe	Christmas With The Rat Pack
Wed Jan  1 03:26:00 2014	228	Bryan Ogden	God Rest Ye Merry Gentlemen	Holiday Remixed
Wed Jan  1 03:30:05 2014	238	Source	Awaken	Holiday Remixed
Wed Jan  1 03:34:28 2014	229	Jon Kennedy	The Goose Is Getting Fat	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 03:38:38 2014	225	Billy Paul Williams Featuring Nicole Henry	Good King Wenceslas	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 03:44:12 2014	223	Nancy Wilson	The Christmas Waltz [Away Team Remix]	The Mistletoe Lounge
Wed Jan  1 03:48:10 2014	224	Jimmy Smith	Silent Night	Christmas '64
Wed Jan  1 03:52:10 2014	225	Stan Kenton	What Is A Santa Claus	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 03:54:44 2014	223	Jo Stafford	Winter Weather	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 03:56:11 2014	218	King Kooba	O Christmas Tree	hOMe For The Holidays
Wed Jan  1 04:01:07 2014	214	Space Gang	O Come, All Ye Faithful	Christmas Chill Out
Wed Jan  1 04:03:53 2014	213	Rauder And Hobbs	Do You Hear What I Hear	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 04:09:01 2014	221	Caribbean Jazz Project	Angels We Have Heard On High	Latin Jazz Christmas
Wed Jan  1 04:13:38 2014	223	Bing Crosby (Kaskade Remix)	White Christmas	Christmas Remixed 2
Wed Jan  1 04:17:01 2014	222	Frank Sinatra	Hark The Herald Angels Sing	Christmas With The Rat Pack
Wed Jan  1 04:19:25 2014	213	Craig Taubman	Maoz Tzur	The Reindeer Room: Finest Christmas Chillout - Not So Silent Night (Volume III)
Wed Jan  1 04:22:33 2014	212	Les Brown	Let It Snow, Let It Snow, Let It Snow	Swingin' Christmas
Wed Jan  1 04:25:09 2014	208	J-Boogie	Under The Christmas Tree	hOMe For The Holidays
Wed Jan  1 04:29:21 2014	211	Sixth Finger	The Christmas Song	Christmas Chill Out
Wed Jan  1 04:33:23 2014	214	Neurobic (Featuring Janja Hvala)	Silent Night	The Mistletoe Lounge
Wed Jan  1 04:36:53 2014	210	Sutro Heights	Winter Wonderland	hOMe For The Holidays
Wed Jan  1 04:41:22 2014	211	Tonal With Burl Ives	Have A Holly Jolly Christmas	Holiday Chill
Wed Jan  1 04:42:39 2014	212	Kabanjak	Holy Night	n/a
Wed Jan  1 04:46:18 2014	213	Herb Alpert	Las Mananitas	Herb Alpert & The Tijuana Brass Christmas Album
Wed Jan  1 04:48:59 2014	212	Louis Armstrong & The Commanders	'Zat You Santa Claus	Swingin' Christmas
Wed Jan  1 04:51:47 2014	209	Al Di Meola	The First Noel	Winter Nights
Wed Jan  1 04:54:56 2014	213	Softies	Holiday In Rhode Island	Holiday In Rhode Island
Wed Jan  1 04:56:48 2014	213	Vic Damone	It's A Marshmallow World	Swingin' Christmas
Wed Jan  1 04:58:50 2014	209	Dean Martin	Winter Wonderland (Bonus Alternate Version)	Christmas With Dino
Wed Jan  1 05:00:41 2014	213	John Zorn	Christmas Time Is Here	A Dreamer's Christmas
Wed Jan  1 05:05:04 2014	210	Peg La Centra	There's Frost On The Moon	The Complete Recordings 1934 -1937
Wed Jan  1 05:08:04 2014	210	Ella Fitzgerald	Sleigh Ride [The Latin Project Remix]	Merry Mixmas
Wed Jan  1 05:12:06 2014	211	Swingle Singers	Christmas Song	Live in Japan
Wed Jan  1 05:15:02 2014	214	J.A.C.E.	Angels We Have Heard	Mistletoe Lounge
Wed Jan  1 05:19:56 2014	215	Vince Guaraldi Trio	O Tannenbaum	A Charlie Brown Christmas
Wed Jan  1 05:24:59 2014	218	Al Martino	Rudolph, The Red-Nosed Reindeer	Ultra Lounge: Christmas Cocktails Part 3
Wed Jan  1 05:27:34 2014	228	June Christy	The Merriest [Thunderball Mix]	Merry Mixmas
Wed Jan  1 05:30:55 2014	226	Shannon Curfman	Please Come Home For Christmas	Christmas Calling
Wed Jan  1 05:33:55 2014	225	GrooveOholics	O Come All Ye Faithful	The Mistletoe Lounge
Wed Jan  1 05:37:44 2014	222	Ferrante And Teicher	Brazillian Sleigh Bells	Ultra-Lounge Christmas Cocktails Vol. 4
Wed Jan  1 05:40:32 2014	228	Jack Jezzro And Friends	O Christmas Tree	Bossa Nova Christmas
Wed Jan  1 05:44:19 2014	232	Eartha Kitt	Santa Baby [Alexkid & Dj Sleep Remix]	Merry Mixmas
Wed Jan  1 05:47:54 2014	226	Tetsumi Nagaka	Feliz Navidad	The Reindeer Room: A Christmas Chillout
Wed Jan  1 05:52:36 2014	227	Ituana & Sixth Finger	White Christmas	Christmas Chill Out
Wed Jan  1 05:55:47 2014	227	Lou Rawls	Have Yourself A Merry Little Christmas	Ultra Lounge: Christmas Cocktails Part 3
Wed Jan  1 05:59:11 2014	234	Spooky Monkey Featuring Harmony	She Won't Be Home	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 06:03:47 2014	230	Les Brown & Band	I've Got My Love To Keep Me Warm [Psapp's Lady Remix]	Merry Mixmas
Wed Jan  1 06:06:30 2014	229	Bob Francis	That Swingin' Manger	Swingin' Christmas
Wed Jan  1 06:08:54 2014	229	Durbin Elf	Carol Of The Bells	The Reindeer Room: A Christmas Chillout
Wed Jan  1 06:12:52 2014	236	Found Sound Orchestra	Four Xmas	Christmas Midgets
Wed Jan  1 06:16:26 2014	236	Herb Alpert & Jeff Lorber	Winter Wonderland	Jazz to the World: a Christmas Collection
Wed Jan  1 06:19:55 2014	238	Space Gang	Christmas (Baby, Please Come Home)	Christmas Chill Out
Wed Jan  1 06:23:31 2014	247	Ferrante And Teicher & Les Baxter	Sleigh Ride, Santa Claus' Party	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 06:27:44 2014	241	Madison Park	Winter Wonderland (Vocal Mix)	The Mistletoe Lounge
Wed Jan  1 06:31:42 2014	236	Sunday People	Ask Yourself	Holiday Remixed: Reworked Classics And Originals From The Mistletoe Lounge
Wed Jan  1 06:36:51 2014	237	Jack Jones	Mistletoe And Holly	Swingin' Christmas
Wed Jan  1 06:38:33 2014	236	Manhattan Transfer	Snowfall	The Christmas Album
Wed Jan  1 06:43:50 2014	247	Craig Taubman	Mi Ymaleil	The Reindeer Room: Finest Christmas Chillout - Not So Silent Night (Volume III)
Wed Jan  1 06:47:31 2014	244	Wayne Newton	Christmas Journey	Ultra-Lounge Christmas Cocktails Vol. 4
Wed Jan  1 06:50:01 2014	246	Sub Santa	Jingle Bells	The Reindeer Room: A Christmas Chillout
Wed Jan  1 06:54:48 2014	257	Kay Starr	The Man With The Bag [Thunderball Remix]	Merry Mixmas
Wed Jan  1 06:58:14 2014	261	Members Only	Christmas Eve	hOMe For The Holidays
Wed Jan  1 07:02:45 2014	260	Eddie Dunstedter	Let It Snow, Rudolph, The Red-Nosed Reindeer	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 07:07:38 2014	260	Eddie Lockjaw Davis	Santa Claus Is Coming To Town	Swingin' Christmas
Wed Jan  1 07:09:49 2014	261	Cortex Cure	I Wonder As I Wander	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 07:14:55 2014	262	Martin Denny	Exotic Night	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 07:17:07 2014	276	Cssr State Philharmonic (Patrick Krouchian Remix)	Good King Wenceslas	Christmas Remixed 2
Wed Jan  1 07:22:31 2014	277	Ella Fitzgerald	Let It Snow, Let It Snow, Let It Snow	Ella Wishes You a Swinging Christmas [Remastered]
Wed Jan  1 07:25:15 2014	280	Dean Martin	've Got My Love To Keep Me Warm	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 07:27:48 2014	284	J-Boogie	Dance Of The Snowflake	hOMe For The Holidays Volume Two
Wed Jan  1 07:33:06 2014	283	Al Velilla	Jingle Beats	hOMe For The Holidays Volume Two
Wed Jan  1 07:37:28 2014	293	Tonal With Doris Day	Toyland	Holiday Chill
Wed Jan  1 07:40:20 2014	293	Joe Williams & Harry 'sweets'	Winter Weather	Together/Have a Good Time
Wed Jan  1 07:42:13 2014	302	Bing Crosby And Ella Fitzgerald (John Beltran Remix)	Rudolph, The Red-Nosed Reindeer	Christmas Remixed 2
Wed Jan  1 07:45:30 2014	294	Tonal With Louis Armstrong	'Zat You Santa Claus	Holiday Chill
Wed Jan  1 07:48:09 2014	295	Rockapella	Like Christmas	Rockapella Christmas
Wed Jan  1 07:50:57 2014	294	Tonal With Vic Damone	Silent Night	Holiday Chill
Wed Jan  1 07:52:18 2014	289	Trembling Blue Stars	Christmas & Train-Trips & Things	A Certain Evening Light
Wed Jan  1 07:55:17 2014	283	Nancy Wilson	The Christmas Waltz	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 07:57:48 2014	291	Hot Toddy	Hark The Herald Angels Sing	holiday remixed: Reworked classics and originals from the Mistletoe Lounge
Wed Jan  1 08:01:11 2014	283	Moog Machine	We Wish You A Merry Christmas	Christmas Becomes Electric
Wed Jan  1 08:02:18 2014	281	Caiola & Ortolani, Jimmy Mc Griff	Sleigh Ride, Jingle Bells	Ultra-Lounge - Christmas Cocktails, Part Two
Wed Jan  1 08:08:19 2014	284	Fiona Apple	Frosty The Snowman	Christmas Calling
Wed Jan  1 08:10:26 2014	279	Esquivel	White Christmas	Swingin' Christmas
Wed Jan  1 08:12:12 2014	276	Arthur Lyman	We Three Kings	With A Christmas Vibe
Wed Jan  1 08:14:18 2014	279	Pink House	Have Yourself A Merry Little Christmas	Christmas Chill Out
Wed Jan  1 08:17:54 2014	281	Juan Atkins	Snowflakes Falling (Juan Atkins Mix)	Christmas Eclectic
Wed Jan  1 08:22:31 2014	292	Jon Kennedy	A Child Is Born	The Reindeer Room: A Christmas Chillout
Wed Jan  1 08:26:10 2014	289	Led Vs. Panaphonic	My Favorite Things	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 08:31:21 2014	288	Frank Sinatra	The First Noel	Christmas With The Rat Pack
Wed Jan  1 08:33:52 2014	294	Red Connection	O' Tannenbaum [Oh, Dancing Tree Mix]	Holiday Remixed: Reworked classics and originals from the Mistletoe Lounge
Wed Jan  1 08:37:02 2014	294	Fever Audio	Lil' Drummer Boy [Big Drummer Man Remix]	Holiday Remixed: Reworked Classics And Originals From The Mistletoe Lounge
Wed Jan  1 08:42:26 2014	291	Jacky Terrasson	Adeste Fideles, Little Drumer Boy Jam	Yule Be Boppin'
Wed Jan  1 08:45:49 2014	294	Zigo	God Rest Ye Merry Gentlemen	The Reindeer Room: A Christmas Chillout
Wed Jan  1 08:49:48 2014	293	Vince Guaraldi Trio	Greensleeves	A Charlie Brown Christmas
Wed Jan  1 08:55:07 2014	290	Nat King Cole	Buon Natale (Means Merry Christmas To You)	Ultra Lounge: Christmas Cocktails Part 3
Wed Jan  1 08:56:39 2014	290	Lou Rawls	Merry Christmas, Baby	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 08:59:07 2014	291	Found Sound Orchestra	Drum Roll Please	Christmas Midgets
Wed Jan  1 09:02:51 2014	283	Shawn Lee's Ping Pong Orchestra	Jingle Bells	A Very Ping Pong Christmas: Funky Treats From Santa's Bag (Ubiquity Records)
Wed Jan  1 09:05:54 2014	283	Jackie Gleason And Jack Marshall	I'll Be Home For Christmas, Baby It's Cold Outside	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 09:10:12 2014	289	Louis Armstrong & The Commanders	Cool Yule	Swingin' Christmas
Wed Jan  1 09:13:08 2014	287	Jack Jezzro Feat. Beegie Adair	Christmas Time Is Here (Feat.	n/a
Wed Jan  1 09:16:25 2014	295	Mel Torme	The Christmas Song	Christmas Songs
Wed Jan  1 09:19:07 2014	291	Jo Stafford	The Christmas Blues	Swingin' Christmas
Wed Jan  1 09:21:35 2014	294	Dean Martin, Frank Sinatra	A Marshmallow World	Christmas With The Rat Pack
Wed Jan  1 09:23:47 2014	292	Carmen Mc Rae & Sammy Davis Jr.	Baby, It's Cold Outside	Ultra-Lounge: Christmas Cocktails, Part 3
Wed Jan  1 09:27:02 2014	298	Dean Martin	Blue Christmas	Christmas With Dino
Wed Jan  1 09:29:16 2014	302	Lenny B (Featuring David Verbist)	Feliz Navidad	The Mistletoe Lounge
Wed Jan  1 09:33:43 2014	301	Kay Starr	I've Got My Love To Keep Me Warm (Stuhr Remix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 09:37:17 2014	302	Natascha	Silent Night	Christmas Chill Out
Wed Jan  1 09:40:27 2014	297	Ray Anthony	Christmas Kisses	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 09:42:20 2014	305	Peggy Lee	Happy Holiday	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 09:44:12 2014	303	Tonal With Bing Crosby	A Time To Be Jolly	Holiday Chill
Wed Jan  1 09:46:19 2014	307	Connie Francis	Winter Wonderland	Christmas Cheer
Wed Jan  1 09:48:53 2014	301	Myntee	Hard Candy Christmas	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 09:53:28 2014	304	Julie London	I'd Like You For Christmas [Ursula 1000 Remix]	Merry Mixmas
Wed Jan  1 09:57:10 2014	300	Lennie Moore	Carol Of The Bells	All I Want for Christmas is Jazz
Wed Jan  1 10:00:37 2014	300	Les Brown And His Band Of Renown	The Nutcracker Suite	Ultra-Lounge / Christmas Cocktails
Wed Jan  1 10:07:08 2014	301	Al Caiola & Riz Ortolani	Holiday On Skis	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 10:09:29 2014	302	Madison Park Vs. Lenny B	Winter Wonderland	holiday remixed: Reworked classics and originals from the Mistletoe Lounge
Wed Jan  1 10:13:47 2014	302	Fred Waring & The Pennsylvanians	Ring Those Christmas Bells	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 10:18:11 2014	301	Rithma	Pyscho Jingle Funk	hOMe For The Holidays
Wed Jan  1 10:22:53 2014	300	Billy Paul Williams	Ye Merry Gents	The Mistletoe Lounge
Wed Jan  1 10:26:57 2014	294	Oscar Peterson	Have Yourself A Merry Little C	An Oscar Peterson Christmas
Wed Jan  1 10:30:45 2014	297	Bing Crosby	Looks Like A Cold, Cold Winter	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 10:33:48 2014	299	Groovecatcher	O Come O Come Emmanuel	The Mistletoe Lounge
Wed Jan  1 10:38:56 2014	299	Forro In The Dark	Santa Claus Is Coming	Forro Christmas EP
Wed Jan  1 10:40:53 2014	296	Sammy Davis Jr.	The Christmas Song	Christmas With The Rat Pack
Wed Jan  1 10:44:11 2014	297	Zigo Feat. Joan Rochette	Sleigh Ride	The Reindeer Room: A Christmas Chillout
Wed Jan  1 10:49:41 2014	289	Karmacoda	Baby It's Cold Outside	n/a
Wed Jan  1 10:54:27 2014	286	David Rose	Medley Toyland, Silent Night, Oh Come All Ye Faithful	Christmas with the Royal Philharmonic Orchestra
Wed Jan  1 10:57:53 2014	282	Kaskade	Still Still Still	hOMe For The Holidays
Wed Jan  1 11:01:55 2014	283	Charlie Parker (King Kooba Remix)	White Christmas	Christmas Remixed 2
Wed Jan  1 11:05:55 2014	283	Sunday People	The First Noel	The Mistletoe Lounge
Wed Jan  1 11:11:08 2014	278	Sub Santa	O Christmas Tree (O Tannenbaum)	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 11:15:55 2014	279	Perfect Project	Santa Baby	The Mistletoe Lounge
Wed Jan  1 11:19:06 2014	272	Berlin Symphony Orchestra (Red Baron Remix)	Dance Of The Sugar Plum Fairy	Christmas Remixed 2
Wed Jan  1 11:21:42 2014	282	Cathedral Brass	Joy To The World (Mocean Worker Remix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 11:25:29 2014	283	Herb Alpert	Jingle Bells	Herb Alpert & The Tijuana Brass Christmas Album
Wed Jan  1 11:28:23 2014	285	Aaron Charles	Little Drummer Boy	The Reindeer Room: A Christmas Chillout
Wed Jan  1 11:35:55 2014	291	Al Di Meola	Greensleeves	Winter Nights
Wed Jan  1 11:38:34 2014	290	Bryan Ogden	God Rest Ye Merry Gentlemen	Holiday Remixed
Wed Jan  1 11:42:40 2014	286	Mahalia Jackson (46bliss Remix)	Silent Night	Christmas Remixed 2
Wed Jan  1 11:46:11 2014	280	Billy Paul Williams Featuring Nicole Henry	The Holly And The Ivy	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 11:51:23 2014	285	Arthur Lyman	Silver Bells	With A Christmas Vibe
Wed Jan  1 11:54:11 2014	282	Vince Guaraldi Trio	What Child Is This	A Charlie Brown Christmas
Wed Jan  1 11:56:26 2014	288	Jimmy Mc Griff	I Saw Mommy Kissing Santa Claus	Ultra-Lounge / Christmas Cocktails Volume II
Wed Jan  1 12:02:56 2014	289	Love Colony Feat. Six	Christmas Is A Feeling In Your Heart	The Reindeer Room: A Christmas Chillout
Wed Jan  1 12:05:55 2014	292	Duke Ellington	Jingle Bells (Robbie Hardkiss Remix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 12:09:41 2014	286	Sarah Vaughan	Snowbound	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 12:12:48 2014	284	Paul Mauriat And His Orchestra	O' Tannenbaum (O' Christmas Tree)	The Christmas Album
Wed Jan  1 12:14:31 2014	275	Rauder And Hobbs	Do You Hear What I Hear	Reindeer Room Volume II - A Christmas Chillout
Wed Jan  1 12:19:41 2014	267	Patti Page (Rondo Brothers Remix)	Frosty The Snowman	Christmas Remixed 2
Wed Jan  1 12:23:48 2014	258	Rene Marie	Winter Wonderland	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 12:26:40 2014	259	Source	Awaken	Holiday Remixed
Wed Jan  1 12:31:08 2014	256	Space Gang	O Come, All Ye Faithful	Christmas Chill Out
Wed Jan  1 12:33:49 2014	251	Julie London	I've Got My Love To Keep Me Warm	Ultra Lounge: Christmas Cocktails Part 3
Wed Jan  1 12:37:55 2014	252	Jack Johnson	Rudolph The Red Nosed Reindeer	Maybe This Christmas
Wed Jan  1 12:40:01 2014	258	Caribbean Jazz Project	Angels We Have Heard On High	Latin Jazz Christmas
Wed Jan  1 12:44:39 2014	262	Pizarelli, John	What Are You Doing New Year's Eve	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 12:48:45 2014	290	Wayne Newton	Jingle Bell Rock	Ultra-Lounge: Christmas Cocktails 2
Wed Jan  1 12:50:52 2014	261	Frank Sinatra	Misletoe And Holly	Christmas With The Rat Pack
Wed Jan  1 12:53:08 2014	271	Badly Drawn Boy	Donna & Blitzen	Maybe This Christmas Too?
Wed Jan  1 12:57:15 2014	269	Charles Brown (Ohmega Watts Remix)	I'll Be Home For Christmas	Christmas Remixed 2
Wed Jan  1 13:01:00 2014	264	Montesco	O Holy Night Featuring Laurent Caillat	hOMe For The Holidays Volume Two
Wed Jan  1 13:04:59 2014	263	Craig Taubman	Maoz Tzur	The Reindeer Room: Finest Christmas Chillout - Not So Silent Night (Volume III)
Wed Jan  1 13:08:12 2014	266	Woody Herman	Santa Claus Is Coming To Town	Swingin' Christmas
Wed Jan  1 13:10:46 2014	267	Dean Martin	Baby, It's Cold Outside	Christmas With The Rat Pack
Wed Jan  1 13:12:59 2014	269	Bing Crosby	Happy Holidays (Beef Wellington Remix)	A Six Degrees Collection: Christmas Remixed
Wed Jan  1 13:16:16 2014	274	Holluridge Strings	Jingle Bells, Jingle Bell Rock	Ultra-Lounge: Christmas Cocktails, Part One
Wed Jan  1 13:21:17 2014	279	Partridge Family	Have Yourself A Merry Little Christmas	Partridge Family Christmas
Wed Jan  1 13:23:35 2014	282	Ray Anthony	A Marshmallow World	Ultra Lounge: Christmas Cocktails Part 3
Wed Jan  1 13:26:20 2014	277	Hollyridge Strings	Little Saint Nick	Ultra-Lounge Christmas Cocktails Vol. 4
Wed Jan  1 13:28:31 2014	271	Jo Stafford	Winter Weather	Wonderland: Cool December, A Warm And Fuzzy Winter
Wed Jan  1 13:29:59 2014	270	Urban Love	Let It Snow	Christmas Chill Out
Wed Jan  1 13:32:52 2014	267	Neurobic (Featuring Janja Hvala)	Silent Night	The Mistletoe Lounge
Wed Jan  1 13:36:32 2014	268	Kabanjak	Holy Night	n/a
Wed Jan  1 13:40:10 2014	271	Colossus	Charlie Brown Cut Up	hOMe For The Holidays
Wed Jan  1 13:42:20 2014	272	Eddie Dunstedter	I Saw Mommy Kissing Santa Clause, Jingle Bells Bossa Nova	Ultra-Lounge: Christmas Cocktails, Part One
